BioGuideID,GovtrackID,ICPSR_ID,OpenSecretsID,UnaccentedFirstName,UnaccentedLastName,Gender,Birthday,State,Chamber,Party,TermStart,TermEnd,YearsInCongress
B001252,400628,20507.0,N00026080,John,Barrow,M,1955-10-31,GA,House,D,2005-01-04,2015-01-03,10.0
B000213,400018,15085.0,N00005656,Joe,Barton,M,1949-09-15,TX,House,R,1985-01-03,2019-01-03,34.0
B001270,412404,21110.0,N00031877,Karen,Bass,F,1953-10-03,CA,House,D,2011-01-05,2023-01-03,12.0
B000243,300005,14203.0,N00004643,Max,Baucus,M,1941-12-11,MT,Senate,D,1975-01-14,2014-02-06,39.1
B001322,457029,,N00033716,Michael,Baumgartner,M,1975-12-13,WA,House,R,2025-01-03,2027-01-03,2.0
B001314,456888,,N00051369,Aaron,Bean,M,1967-01-25,FL,House,R,2023-01-03,2027-01-03,4.0
B001281,412565,21352.0,N00033904,Joyce,Beatty,F,1950-03-12,OH,House,D,2013-01-03,2027-01-03,14.0
B000287,400021,29316.0,N00009774,Xavier,Becerra,M,1958-01-26,CA,House,D,1993-01-05,2017-01-24,24.1
B001265,412326,40900.0,N00029901,Mark,Begich,M,1962-03-30,AK,Senate,D,2009-01-06,2015-01-03,6.0
B001323,456970,,N00049408,Nicholas,Begich,M,1977-10-21,AK,House,R,2025-01-03,2027-01-03,2.0
B001324,456997,,N00053042,Wesley,Bell,M,1974-11-05,MO,House,D,2025-01-03,2027-01-03,2.0
B001271,412436,21141.0,N00031934,Dan,Benishek,M,1952-04-20,MI,House,R,2011-01-05,2017-01-03,6.0
B001267,412330,40910.0,N00030608,Michael,Bennet,M,1964-11-28,CO,Senate,D,2009-01-22,2029-01-03,19.9
B001280,412547,21336.0,N00033625,Kerry,Bentivolio,M,1951-10-06,MI,House,R,2013-01-03,2015-01-03,2.0
B000668,456842,,N00045773,Cliff,Bentz,M,1952-01-12,OR,House,R,2021-01-03,2027-01-03,6.0
B001287,412512,21304.0,N00030717,Ami,Bera,M,1965-03-02,CA,House,D,2013-01-03,2027-01-03,14.0
B001301,412709,21704.0,N00039533,Jack,Bergman,M,1947-02-02,MI,House,R,2017-01-03,2027-01-03,10.0
B001292,412657,21554.0,N00036018,Donald,Beyer,M,1950-06-20,VA,House,D,2015-01-06,2027-01-03,12.0
B000740,456841,,N00044579,Stephanie,Bice,F,1973-11-11,OK,House,R,2021-01-03,2027-01-03,6.0
B000444,300008,14101.0,N00001669,Joseph,Biden,M,1942-11-20,DE,Senate,D,1973-01-03,2009-01-15,36.0
B001302,412683,21705.0,N00039293,Andy,Biggs,M,1958-11-07,AZ,House,R,2017-01-03,2027-01-03,10.0
B001325,457020,,N00054222,Sheri,Biggs,F,1970-03-28,SC,House,R,2025-01-03,2027-01-03,2.0
B001257,412250,20758.0,N00027462,Gus,Bilirakis,M,1963-02-08,FL,House,R,2007-01-04,2027-01-03,20.0
B001311,412844,21986.0,N00044335,Dan,Bishop,M,1964-07-01,NC,House,R,2019-09-17,2025-01-03,5.3
B001293,412635,21527.0,N00036449,Mike,Bishop,M,1967-03-18,MI,House,R,2015-01-06,2019-01-03,4.0
B001250,400029,20357.0,N00025292,Rob,Bishop,M,1951-07-13,UT,House,R,2003-01-07,2021-01-03,18.0
B000490,400030,29339.0,N00002674,Sanford,Bishop,M,1947-02-04,GA,House,D,1993-01-05,2027-01-03,34.0
B001242,400031,20338.0,N00025413,Timothy,Bishop,M,1950-06-01,NY,House,D,2003-01-07,2015-01-03,12.0
B001273,412478,21180.0,N00031539,Diane,Black,F,1951-01-16,TN,House,R,2011-01-05,2019-01-03,8.0
B001243,400032,20351.0,N00003105,Marsha,Blackburn,F,1952-06-06,TN,Senate,R,2003-01-07,2031-01-03,28.0
B001294,412627,21520.0,N00033744,Rod,Blum,M,1955-04-26,IA,House,R,2015-01-06,2019-01-03,4.0
B000574,400033,29588.0,N00007727,Earl,Blumenauer,M,1948-08-16,OR,House,D,1996-05-21,2025-01-03,28.6
B001277,412490,41101.0,N00031685,Richard,Blumenthal,M,1946-02-13,CT,Senate,D,2011-01-05,2029-01-03,18.0
B000575,400034,29735.0,N00005195,Roy,Blunt,M,1950-01-10,MO,Senate,R,1997-01-07,2023-01-03,26.0
B001303,412689,21706.0,N00038414,Lisa,Blunt Rochester,F,1962-02-10,DE,Senate,D,2017-01-03,2031-01-03,14.0
B000825,456805,,N00045974,Lauren,Boebert,F,1986-12-15,CO,House,R,2021-01-03,2027-01-03,6.0
B000589,400036,29137.0,N00003675,John,Boehner,M,1949-11-17,OH,House,R,1991-01-03,2015-10-31,24.8
B001278,412501,21198.0,N00033474,Suzanne,Bonamici,F,1954-10-14,OR,House,D,2012-02-07,2027-01-03,14.9
B001244,400038,20300.0,N00025330,Jo,Bonner,M,1959-11-19,AL,House,R,2003-01-07,2013-08-02,10.6
B001288,412598,41308.0,N00035267,Cory,Booker,M,1969-04-27,NJ,Senate,D,2013-10-31,2027-01-03,13.2
B001236,400040,20101.0,N00013873,John,Boozman,M,1950-12-10,AR,Senate,R,2001-11-29,2029-01-03,27.1
B001245,400041,,N00024866,Madeleine,Bordallo,F,1933-05-31,GU,House,D,2003-01-07,2019-01-03,16.0
B001295,412629,21519.0,N00035420,Mike,Bost,M,1960-12-30,IL,House,R,2015-01-06,2027-01-03,12.0
B001312,456812,,N00041791,Carolyn,Bourdeaux,F,1970-06-03,GA,House,D,2021-01-03,2023-01-03,2.0
B001255,400636,20514.0,N00026595,Charles,Boustany,M,1956-02-21,LA,House,R,2005-01-04,2017-01-03,12.0
B001223,456839,,N00044790,Jamaal,Bowman,M,1976-04-01,NY,House,D,2021-01-03,2025-01-03,4.0
B000711,300011,15011.0,N00006692,Barbara,Boxer,F,1940-11-11,CA,Senate,D,1983-01-03,2017-01-03,34.0
B001296,412652,21548.0,N00035307,Brendan,Boyle,M,1977-02-06,PA,House,D,2015-01-06,2027-01-03,12.0
B000755,400046,29760.0,N00005883,Kevin,Brady,M,1955-04-11,TX,House,R,1997-01-07,2023-01-03,26.0
B001227,400047,29777.0,N00001619,Robert,Brady,M,1945-04-07,PA,House,D,1998-05-19,2019-01-03,20.6
B001259,412208,20719.0,N00027464,Bruce,Braley,M,1957-10-30,IA,House,D,2007-01-04,2015-01-03,8.0
B001290,412605,21553.0,N00036013,David,Brat,M,1964-07-27,VA,House,R,2014-11-12,2019-01-03,4.1
B001310,412839,41900.0,N00041731,Mike,Braun,M,1954-03-24,IN,Senate,R,2019-01-03,2025-01-03,6.0
B001317,456931,,N00051106,Josh,Brecheen,M,1979-06-19,OK,House,R,2023-01-03,2027-01-03,4.0
B001327,457018,,N00053588,Robert,Bresnahan,M,1990-04-22,PA,House,R,2025-01-03,2027-01-03,2.0
B001283,412567,21354.0,N00033532,Jim,Bridenstine,M,1975-06-15,OK,House,R,2013-01-03,2018-04-23,5.3
B001308,412806,21904.0,N00041385,Anthony,Brindisi,M,1978-11-22,NY,House,D,2019-01-03,2021-01-03,2.0
B001319,456874,,N00048812,Katie,Britt,F,1982-02-02,AL,Senate,R,2023-01-03,2029-01-03,6.0
B001274,412395,21193.0,N00030910,Mo,Brooks,M,1954-04-29,AL,House,R,2011-01-05,2023-01-03,12.0
B001284,412539,21331.0,N00033495,Susan,Brooks,F,1960-08-25,IN,House,R,2013-01-03,2021-01-03,8.0
B001262,412252,20753.0,N00028986,Paul,Broun,M,1946-05-14,GA,House,R,2007-07-25,2015-01-03,7.4
B001304,412707,21707.0,N00036999,Anthony,Brown,M,1961-11-21,MD,House,D,2017-01-03,2023-01-03,6.0
B000911,400048,29328.0,N00002713,Corrine,Brown,F,1946-11-11,FL,House,D,1993-01-05,2017-01-03,24.0
B000944,400050,29389.0,N00003535,Sherrod,Brown,M,1952-11-09,OH,Senate,D,1993-01-05,2025-01-03,32.0
B001313,456863,,N00047875,Shontel,Brown,F,1975-06-24,OH,House,D,2021-11-04,2027-01-03,5.2
B001285,412516,21308.0,N00034254,Julia,Brownley,F,1952-08-28,CA,House,D,2013-01-03,2027-01-03,14.0
B001260,412196,20709.0,N00027626,Vern,Buchanan,M,1951-05-08,FL,House,R,2007-01-04,2027-01-03,20.0
B001297,412619,21510.0,N00030829,Ken,Buck,M,1959-02-16,CO,House,R,2015-01-06,2024-03-22,9.2
B001275,412427,21132.0,N00031227,Larry,Bucshon,M,1962-05-31,IN,House,R,2011-01-05,2025-01-03,14.0
B001305,412712,21708.0,N00039551,Ted,Budd,M,1971-10-21,NC,Senate,R,2017-01-03,2029-01-03,12.0
B001315,456901,,N00049102,Nicole (Nikki),Budzinski,F,1977-03-11,IL,House,D,2023-01-03,2027-01-03,4.0
B001309,412817,21905.0,N00041594,Tim,Burchett,M,1964-08-25,TN,House,R,2019-01-03,2027-01-03,8.0
B001248,400052,20355.0,N00025219,Michael,Burgess,M,1950-12-23,TX,House,R,2003-01-07,2025-01-03,22.0
B001316,456910,,N00049123,Eric,Burlison,M,1976-10-02,MO,House,R,2023-01-03,2027-01-03,4.0
B001135,400054,29548.0,N00002221,Richard,Burr,M,1955-11-30,NC,Senate,R,1995-01-04,2023-01-03,28.0
B001224,456829,,N00039373,Cori,Bush,F,1976-07-21,MO,House,D,2021-01-03,2025-01-03,4.0
B001286,412537,21329.0,N00033390,Cheri,Bustos,F,1961-10-17,IL,House,D,2013-01-03,2023-01-03,10.0
B001320,456954,,,Laphonza,Butler,F,1979-05-11,CA,Senate,D,2023-10-03,2024-12-08,1.2
B001251,400616,20340.0,N00027035,George,Butterfield,M,1947-04-27,NC,House,D,2004-07-21,2022-12-30,18.4
B001326,457016,,N00052777,Janelle,Bynum,F,1975-01-31,OR,House,D,2025-01-03,2027-01-03,2.0
B001289,412601,21376.0,N00035380,Bradley,Byrne,M,1955-02-16,AL,House,R,2014-01-08,2021-01-03,7.0
C000059,400057,29323.0,N00007099,Ken,Calvert,M,1953-06-08,CA,House,R,1993-01-05,2027-01-03,34.0
C001039,456806,,N00045978,Katherine,Cammack,F,1988-02-16,FL,House,R,2021-01-03,2027-01-03,6.0
C000071,400058,29124.0,N00008086,Dave,Camp,M,1953-07-09,MI,House,R,1991-01-03,2015-01-03,24.0
C001064,412011,20539.0,N00027565,John,Campbell,M,1955-07-19,CA,House,R,2005-12-07,2015-01-03,9.1
C001046,400060,20144.0,N00013131,Eric,Cantor,M,1963-06-06,VA,House,R,2001-01-03,2014-08-18,13.6
C000127,300018,39310.0,N00007836,Maria,Cantwell,F,1958-10-13,WA,Senate,D,1993-01-05,2031-01-03,38.0
C001047,400061,20146.0,N00009771,Shelley,Capito,F,1953-11-26,WV,Senate,R,2001-01-03,2027-01-03,26.0
C001036,400062,29774.0,N00007232,Lois,Capps,F,1938-01-10,CA,House,D,1998-03-10,2017-01-03,18.8
C001037,400063,29919.0,N00000267,Michael,Capuano,M,1952-01-09,MA,House,D,1999-01-06,2019-01-03,20.0
C001134,456887,,N00049068,Yadira,Caraveo,F,1980-12-23,CO,House,D,2023-01-03,2025-01-03,2.0
C001112,412686,21709.0,N00037015,Salud,Carbajal,M,1964-11-18,CA,House,D,2017-01-03,2027-01-03,10.0
C000141,400064,15408.0,N00001955,Benjamin,Cardin,M,1943-10-05,MD,Senate,D,1987-01-06,2025-01-03,38.0
C001126,456864,,N00048568,Mike,Carey,M,1971-03-13,OH,House,R,2021-11-04,2027-01-03,5.2
C001054,456799,,N00044245,Jerry,Carl,M,1958-06-17,AL,House,R,2021-01-03,2025-01-03,4.0
C001083,412407,21113.0,N00030736,John,Carney,M,1956-05-20,DE,House,D,2011-01-05,2017-01-03,6.0
C000174,300019,15015.0,N00012508,Thomas,Carper,M,1947-01-23,DE,Senate,D,1983-01-03,2025-01-03,42.0
C001072,412258,20757.0,N00029513,André,Carson,M,1974-10-16,IN,House,D,2008-03-13,2027-01-03,18.8
C001103,412622,21513.0,N00035346,Earl,Carter,M,1957-09-06,GA,House,R,2015-01-06,2027-01-03,12.0
C001051,400068,20356.0,N00025095,John,Carter,M,1941-11-06,TX,House,R,2003-01-07,2027-01-03,24.0
C001125,456860,,N00025766,Troy,Carter,M,1963-10-26,LA,House,D,2021-05-11,2027-01-03,5.6
C001090,412571,21358.0,N00034128,Matthew,Cartwright,M,1961-05-01,PA,House,D,2013-01-03,2025-01-03,12.0
C001131,456945,,N00049855,Gregorio,Casar,M,1989-05-04,TX,House,D,2023-01-03,2027-01-03,4.0
C001055,400069,20322.0,N00025882,Ed,Case,M,1952-09-27,HI,House,D,2003-01-07,2027-01-03,24.0
C001070,412246,40703.0,N00027503,Robert,Casey,M,1960-04-13,PA,Senate,D,2007-01-04,2025-01-03,18.0
C001075,412269,20919.0,N00030245,Bill,Cassidy,M,1957-09-28,LA,Senate,R,2009-01-06,2027-01-03,18.0
C001117,412775,21906.0,N00041338,Sean,Casten,M,1971-11-23,IL,House,D,2019-01-03,2027-01-03,8.0
C001066,412195,20708.0,N00027514,Kathy,Castor,F,1966-08-20,FL,House,D,2007-01-04,2027-01-03,20.0
C001091,412576,21362.0,N00033316,Joaquin,Castro,M,1974-09-16,TX,House,D,2013-01-03,2027-01-03,14.0
C001104,456833,,N00046252,Madison,Cawthorn,M,1995-08-01,NC,House,R,2021-01-03,2023-01-03,2.0
C000266,400071,29550.0,N00003689,Steve,Chabot,M,1953-01-22,OH,House,R,1995-01-04,2023-01-03,28.0
C001076,412270,20949.0,N00028958,Jason,Chaffetz,M,1967-03-26,UT,House,R,2009-01-06,2017-06-30,8.5
C000286,300021,29512.0,N00002685,Saxby,Chambliss,M,1943-11-10,GA,Senate,R,1995-01-04,2015-01-03,20.0
C001135,456933,,N00048900,Lori,Chavez-DeRemer,F,1968-04-07,OR,House,R,2023-01-03,2025-01-03,2.0
C001109,412732,21710.0,N00035504,Liz,Cheney,F,1966-07-28,WY,House,R,2017-01-03,2023-01-03,6.0
C001127,456865,,N00043504,Sheila,Cherfilus-McCormick,F,1979-01-25,FL,House,D,2022-01-18,2027-01-03,5.0
C001100,412597,,,Jeffrey,Chiesa,M,1965-06-22,NJ,Senate,R,2013-06-10,2013-10-31,0.4
C000380,400073,,N00000133,Donna,Christensen,F,1945-09-19,VI,House,D,1997-01-07,2015-01-03,18.0
C001080,412379,20955.0,N00030600,Judy,Chu,F,1953-07-07,CA,House,D,2009-07-16,2027-01-03,17.5
C001084,412470,21172.0,N00032019,David,Cicilline,M,1961-07-15,RI,House,D,2011-01-05,2023-05-31,12.4
C001133,456880,,N00049039,Juan,Ciscomani,M,1982-08-30,AZ,House,R,2023-01-03,2027-01-03,4.0
C001123,412757,21907.0,N00041464,Gilbert,Cisneros,M,1971-02-12,CA,House,D,2019-01-03,2027-01-03,8.0
C001101,412600,21375.0,N00035278,Katherine,Clark,F,1963-07-17,MA,House,D,2013-12-12,2027-01-03,13.1
C001067,412221,20733.0,N00026961,Yvette,Clarke,F,1964-11-21,NY,House,D,2007-01-04,2027-01-03,20.0
C001102,412604,,N00035854,Curtis,Clawson,M,1959-09-28,FL,House,R,2014-06-24,2017-01-03,2.5
C001049,400074,20147.0,N00012460,Wm.,Clay,M,1956-07-27,MO,House,D,2001-01-03,2021-01-03,20.0
C001061,400639,20517.0,N00026790,Emanuel,Cleaver,M,1944-10-26,MO,House,D,2005-01-04,2027-01-03,22.0
C001118,412832,21908.0,N00042296,Ben,Cline,M,1972-02-29,VA,House,R,2019-01-03,2027-01-03,8.0
C001115,412746,21758.0,N00041882,Michael,Cloud,M,1975-05-13,TX,House,R,2018-07-10,2027-01-03,8.5
C000537,400075,39301.0,N00002408,James,Clyburn,M,1940-07-21,SC,House,D,1993-01-05,2027-01-03,34.0
C001116,456813,,N00046654,Andrew,Clyde,M,1963-11-22,GA,House,R,2021-01-03,2027-01-03,6.0
C000542,402675,14806.0,N00003845,Daniel,Coats,M,1943-05-16,IN,Senate,R,1981-01-05,2017-01-03,36.0
C000556,400076,15092.0,N00002247,Howard,Coble,M,1931-03-18,NC,House,R,1985-01-03,2015-01-03,30.0
C000560,400576,29555.0,N00005601,Thomas,Coburn,M,1948-03-14,OK,Senate,R,1995-01-04,2015-01-03,20.0
C000567,300023,14009.0,N00003328,Thad,Cochran,M,1937-12-07,MS,Senate,R,1973-01-03,2018-04-01,45.2
C001077,412271,20906.0,N00024753,Mike,Coffman,M,1955-03-19,CO,House,R,2009-01-06,2019-01-03,10.0
C001068,412236,20748.0,N00003225,Steve,Cohen,M,1949-05-24,TN,House,D,2007-01-04,2027-01-03,20.0
C001053,400077,20344.0,N00025726,Tom,Cole,M,1949-04-28,OK,House,R,2003-01-07,2027-01-03,24.0
C001092,412563,21345.0,N00001285,Chris,Collins,M,1950-05-20,NY,House,R,2013-01-03,2019-10-01,6.7
C001093,412531,21323.0,N00033518,Doug,Collins,M,1966-08-16,GA,House,R,2013-01-03,2021-01-03,8.0
C001129,456895,,N00035370,Mike,Collins,M,1967-07-02,GA,House,R,2023-01-03,2027-01-03,4.0
C001035,300025,49703.0,N00000491,Susan,Collins,F,1952-12-07,ME,Senate,R,1997-01-07,2027-01-03,30.0
C001108,412676,21565.0,N00038260,James,Comer,M,1972-08-19,KY,House,R,2016-11-14,2027-01-03,10.1
C001105,412658,21555.0,N00036023,Barbara,Comstock,F,1959-06-30,VA,House,R,2015-01-06,2019-01-03,4.0
C001136,457008,,N00026951,Herbert,Conaway,M,1963-01-30,NJ,House,D,2025-01-03,2027-01-03,2.0
C001062,400655,20531.0,N00026041,K.,Conaway,M,1948-06-11,TX,House,R,2005-01-04,2021-01-03,16.0
C001078,412272,20952.0,N00029891,Gerald,Connolly,M,1950-03-30,VA,House,D,2009-01-06,2025-05-21,16.4
C001128,456866,,N00050064,Connie,Conway,F,1950-09-25,CA,House,R,2022-06-07,2023-01-03,0.6
C000714,400080,10713.0,N00004029,John,Conyers,M,1929-05-16,MI,House,D,1965-01-04,2017-12-05,52.9
C001094,412513,21305.0,N00034224,Paul,Cook,M,1943-03-03,CA,House,R,2013-01-03,2020-12-07,7.9
C001088,412390,40916.0,N00031820,Christopher,Coons,M,1963-09-09,DE,Senate,D,2010-11-15,2027-01-03,16.1
C000754,400081,15019.0,N00003132,Jim,Cooper,M,1954-06-19,TN,House,D,1983-01-03,2023-01-03,40.0
C001071,412248,40705.0,N00027441,Bob,Corker,M,1952-08-24,TN,Senate,R,2007-01-04,2019-01-03,12.0
C001056,300027,40305.0,N00024852,John,Cornyn,M,1952-02-02,TX,Senate,R,2002-11-30,2027-01-03,24.1
C001110,412688,21711.0,N00037260,J.,Correa,M,1958-01-24,CA,House,D,2017-01-03,2027-01-03,10.0
C001113,412681,41700.0,N00037161,Catherine,Cortez Masto,F,1964-03-29,NV,Senate,D,2017-01-03,2029-01-03,12.0
C001059,400618,20501.0,N00026341,Jim,Costa,M,1952-04-13,CA,House,D,2005-01-04,2027-01-03,22.0
C001106,412651,21547.0,N00031064,Ryan,Costello,M,1976-09-07,PA,House,R,2015-01-06,2019-01-03,4.0
C001095,412508,21301.0,N00033363,Tom,Cotton,M,1977-05-13,AR,Senate,R,2013-01-03,2027-01-03,14.0
C001069,412193,20706.0,N00024842,Joe,Courtney,M,1953-04-06,CT,House,D,2007-01-04,2027-01-03,20.0
C001099,412586,,N99999896,William,Cowan,M,1969-04-04,MA,Senate,D,2013-02-06,2013-07-16,0.4
C001124,412755,21909.0,N00028122,TJ,Cox,M,1963-07-18,CA,House,D,2019-01-03,2021-01-03,2.0
C001119,412789,21910.0,N00037039,Angie,Craig,F,1972-02-14,MN,House,D,2019-01-03,2027-01-03,8.0
C001096,412555,21350.0,N00004614,Kevin,Cramer,M,1961-01-21,ND,Senate,R,2013-01-03,2031-01-03,18.0
C001132,456879,,N00048953,Eli,Crane,M,1980-01-03,AZ,House,R,2023-01-03,2027-01-03,4.0
C001137,456983,,N00028132,Jeff,Crank,M,1967-01-28,CO,House,R,2025-01-03,2027-01-03,2.0
C000880,300030,29345.0,N00006267,Michael,Crapo,M,1951-05-20,ID,Senate,R,1993-01-05,2029-01-03,36.0
C001087,412400,21106.0,N00030770,Eric,Crawford,M,1966-01-22,AR,House,R,2011-01-05,2027-01-03,16.0
C001045,400086,20111.0,N00012739,Ander,Crenshaw,M,1944-09-01,FL,House,R,2001-01-03,2017-01-03,16.0
C001120,412820,21911.0,N00042224,Dan,Crenshaw,M,1984-03-14,TX,House,R,2019-01-03,2027-01-03,8.0
C001111,412697,21712.0,N00002942,Charlie,Crist,M,1956-07-24,FL,House,D,2017-01-03,2022-08-31,5.7
C001130,456944,,N00049840,Jasmine,Crockett,F,1981-03-29,TX,House,D,2023-01-03,2027-01-03,4.0
C001121,412762,21912.0,N00040876,Jason,Crow,M,1979-03-15,CO,House,D,2019-01-03,2027-01-03,8.0
C001038,400087,29925.0,N00001127,Joseph,Crowley,M,1962-03-16,NY,House,D,1999-01-06,2019-01-03,20.0
C001098,412573,41304.0,N00033085,Ted,Cruz,M,1970-12-22,TX,Senate,R,2013-01-03,2031-01-03,18.0
C001063,400657,20533.0,N00024978,Henry,Cuellar,M,1955-09-19,TX,House,D,2005-01-04,2027-01-03,22.0
C001048,400089,20139.0,N00009738,John,Culberson,M,1956-08-24,TX,House,R,2001-01-03,2019-01-03,18.0
C000984,400090,29587.0,N00001971,Elijah,Cummings,M,1951-01-18,MD,House,D,1996-04-16,2019-10-17,23.5
C001122,412814,21913.0,N00041400,Joe,Cunningham,M,1982-05-26,SC,House,D,2019-01-03,2021-01-03,2.0
C001107,412621,21512.0,N00035403,Carlos,Curbelo,M,1980-03-01,FL,House,R,2015-01-06,2019-01-03,4.0
C001114,412740,21755.0,N00041221,John,Curtis,M,1960-05-10,UT,Senate,R,2017-11-13,2031-01-03,13.1
C001097,412517,21309.0,N00033373,Tony,Cárdenas,M,1963-03-31,CA,House,D,2013-01-03,2025-01-03,12.0
D000632,456922,,N00050681,Anthony,D'Esposito,M,1982-02-22,NY,House,R,2023-01-03,2025-01-03,2.0
D000618,412549,21338.0,N00033054,Steve,Daines,M,1962-08-20,MT,Senate,R,2013-01-03,2027-01-03,14.0
D000629,412780,21914.0,N00042626,Sharice,Davids,F,1980-05-22,KS,House,D,2019-01-03,2027-01-03,8.0
D000626,412675,21564.0,N00038767,Warren,Davidson,M,1970-03-01,OH,House,R,2016-06-09,2027-01-03,10.6
D000096,400093,29717.0,N00004884,Danny,Davis,M,1941-09-06,IL,House,D,1997-01-07,2027-01-03,30.0
D000230,456912,,N00049636,Donald,Davis,M,1971-08-29,NC,House,D,2023-01-03,2027-01-03,4.0
D000619,412536,21328.0,N00034784,Rodney,Davis,M,1970-01-05,IL,House,R,2013-01-03,2023-01-03,10.0
D000598,400097,20108.0,N00009604,Susan,Davis,F,1944-04-13,CA,House,D,2001-01-03,2021-01-03,20.0
D000594,456943,,N00045793,Mónica,De La Cruz,F,1974-11-11,TX,House,R,2023-01-03,2027-01-03,4.0
D000191,400100,15410.0,N00007781,Peter,DeFazio,M,1947-05-27,OR,House,D,1987-01-06,2023-01-03,36.0
D000197,400101,29710.0,N00006134,Diana,DeGette,F,1957-07-29,CO,House,D,1997-01-07,2027-01-03,30.0
D000216,400103,29109.0,N00000615,Rosa,DeLauro,F,1943-03-02,CT,House,D,1991-01-03,2027-01-03,36.0
D000621,412526,21318.0,N00034746,Ron,DeSantis,M,1978-09-14,FL,House,R,2013-01-03,2018-09-10,5.7
