Ticker,Sector,Industry
DXCM,Healthcare,Medical Devices
CLVT,Technology,Information Technology Services
HY,Industrials,Farm & Heavy Construction Machinery
TOTDY,Industrials,Building Products & Equipment
BUI,Financial Services,Asset Management
APG,Industrials,Engineering & Construction
SHEL,Energy,Oil & Gas Integrated
TTC,Industrials,Tools & Accessories
DASTY,Technology,Software - Application
GPRO,Technology,Consumer Electronics
IR,Industrials,Specialty Industrial Machinery
LZB,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SMNNY,Consumer Cyclical,Leisure
NSP,Industrials,Staffing & Employment Services
KUBTY,Industrials,Farm & Heavy Construction Machinery
KRYS,Healthcare,Biotechnology
SBGI,Communication Services,Broadcasting
URI,Industrials,Rental & Leasing Services
HXL,Industrials,Aerospace & Defense
STT,Financial Services,Asset Management
FCEL,Industrials,Electrical Equipment & Parts
ROL,Consumer Cyclical,Personal Services
RHHBF,Healthcare,Drug Manufacturers - General
SKHHY,Healthcare,Diagnostics & Research
AM,Energy,Oil & Gas Midstream
SATS,Communication Services,Telecom Services
ANIK,Healthcare,Drug Manufacturers - Specialty & Generic
SMNEY,Industrials,Specialty Industrial Machinery
FMC,Basic Materials,Agricultural Inputs
WAL,Financial Services,Banks - Regional
CMP,Basic Materials,Other Industrial Metals & Mining
FINX,Broad Market / ETF,Broad Market / ETF
AXS,Financial Services,Insurance - Specialty
DNZOY,Consumer Cyclical,Auto Parts
PDRDF,Consumer Defensive,Beverages - Wineries & Distilleries
DLICY,Financial Services,Insurance - Life
IMKTA,Consumer Defensive,Grocery Stores
AXP,Financial Services,Credit Services
AFRM,Financial Services,Credit Services
ICSH,Broad Market / ETF,Broad Market / ETF
DEI,Real Estate,REIT - Office
TROW,Financial Services,Asset Management
SGIOY,Healthcare,Drug Manufacturers - Specialty & Generic
BRDCY,Consumer Cyclical,Auto Parts
APH,Technology,Electronic Components
DRH,Real Estate,REIT - Hotel & Motel
AAVMY,Financial Services,Banks - Diversified
EMXC,Broad Market / ETF,Broad Market / ETF
PHM,Consumer Cyclical,Residential Construction
FUN,Consumer Cyclical,Leisure
GPOR,Energy,Oil & Gas E&P
CLS,Technology,Electronic Components
AAON,Industrials,Building Products & Equipment
FICO,Technology,Software - Application
MSB,Basic Materials,Steel
SVNDY,Consumer Defensive,Grocery Stores
MZDAY,Consumer Cyclical,Auto Manufacturers
XP,Financial Services,Capital Markets
JRONY,Consumer Defensive,Food Distribution
YOU,Technology,Software - Application
RGLD,Basic Materials,Gold
SDVKY,Industrials,Specialty Industrial Machinery
BEKE,Real Estate,Real Estate Services
RPT,Real Estate,REIT - Mortgage
INVH,Real Estate,REIT - Residential
WTKWY,Industrials,Specialty Business Services
ZM,Technology,Software - Application
FNB,Financial Services,Banks - Regional
WAB,Industrials,Railroads
GNPX,Healthcare,Biotechnology
CRCL,Financial Services,Capital Markets
NET,Technology,Software - Infrastructure
CMSQY,Financial Services,Capital Markets
AWK,Utilities,Utilities - Regulated Water
CCEP,Consumer Defensive,Beverages - Non-Alcoholic
MSFT,Technology,Software - Infrastructure
FAST,Industrials,Industrial Distribution
BAMXF,Consumer Cyclical,Auto Manufacturers
BLK,Financial Services,Asset Management
AME,Industrials,Specialty Industrial Machinery
LEN,Consumer Cyclical,Residential Construction
PBR,Energy,Oil & Gas Integrated
SKWD,Financial Services,Insurance - Property & Casualty
FN,Technology,Electronic Components
KNX,Industrials,Trucking
ENB,Energy,Oil & Gas Midstream
FBND,Broad Market / ETF,Broad Market / ETF
ACI,Consumer Defensive,Grocery Stores
SRLN,Broad Market / ETF,Broad Market / ETF
BBH,Broad Market / ETF,Broad Market / ETF
CMPS,Healthcare,Medical Care Facilities
CSX,Industrials,Railroads
NOG,Energy,Oil & Gas E&P
SLAB,Technology,Semiconductors
BCPC,Basic Materials,Specialty Chemicals
ABEV,Consumer Defensive,Beverages - Brewers
HIPO,Financial Services,Insurance - Property & Casualty
MDGL,Healthcare,Biotechnology
AJINY,Consumer Defensive,Packaged Foods
MPC,Energy,Oil & Gas Refining & Marketing
IGSB,Broad Market / ETF,Broad Market / ETF
UUGRY,Utilities,Utilities - Regulated Water
INGR,Consumer Defensive,Packaged Foods
FDX,Industrials,Integrated Freight & Logistics
DCO,Industrials,Aerospace & Defense
IBN,Financial Services,Banks - Regional
CRL,Healthcare,Diagnostics & Research
ARCB,Industrials,Trucking
MAN,Industrials,Staffing & Employment Services
SINGY,Industrials,Airlines
ELV,Healthcare,Healthcare Plans
KAI,Industrials,Specialty Industrial Machinery
CRNX,Healthcare,Biotechnology
PINS,Communication Services,Internet Content & Information
FDS,Financial Services,Financial Data & Stock Exchanges
SPHB,Broad Market / ETF,Broad Market / ETF
PUK,Financial Services,Insurance - Life
AHKSY,Industrials,Conglomerates
EPAC,Industrials,Specialty Industrial Machinery
SKT,Real Estate,REIT - Retail
UBS,Financial Services,Banks - Diversified
LB,Energy,Oil & Gas Equipment & Services
LUMN,Communication Services,Telecom Services
ENPH,Technology,Solar
ICHR,Technology,Semiconductor Equipment & Materials
AVXL,Healthcare,Biotechnology
ETV,Financial Services,Asset Management
SUPN,Healthcare,Drug Manufacturers - Specialty & Generic
TSM,Technology,Semiconductors
MSADY,Financial Services,Insurance - Property & Casualty
ALLE,Industrials,Security & Protection Services
AVB,Real Estate,REIT - Residential
DTM,Energy,Oil & Gas Midstream
ALG,Industrials,Farm & Heavy Construction Machinery
DRI,Consumer Cyclical,Restaurants
ONTO,Technology,Semiconductor Equipment & Materials
MGM,Consumer Cyclical,Resorts & Casinos
PM,Consumer Defensive,Tobacco
ENLAY,Utilities,Utilities - Diversified
RIO,Basic Materials,Other Industrial Metals & Mining
GE,Industrials,Aerospace & Defense
AVTR,Healthcare,Medical Instruments & Supplies
BK,Financial Services,Banks - Diversified
SMFG,Financial Services,Banks - Diversified
MGA,Consumer Cyclical,Auto Parts
CASY,Consumer Cyclical,Specialty Retail
CNM,Industrials,Industrial Distribution
PRI,Financial Services,Insurance - Life
VFC,Consumer Cyclical,Apparel Manufacturing
AGAE,Communication Services,Entertainment
NSRGY,Consumer Defensive,Packaged Foods
MTZ,Industrials,Engineering & Construction
NSANY,Consumer Cyclical,Auto Manufacturers
FPE,Broad Market / ETF,Broad Market / ETF
GWW,Industrials,Industrial Distribution
CMTG,Real Estate,REIT - Mortgage
JBL,Technology,Electronic Components
ICE,Financial Services,Financial Data & Stock Exchanges
MSI,Technology,Communication Equipment
AWI,Industrials,Building Products & Equipment
PEB,Real Estate,REIT - Hotel & Motel
MTX,Basic Materials,Specialty Chemicals
MP,Basic Materials,Other Industrial Metals & Mining
AFL,Financial Services,Insurance - Life
GOOG,Communication Services,Internet Content & Information
CWEN,Utilities,Utilities - Renewable
DIS,Communication Services,Entertainment
TRV,Financial Services,Insurance - Property & Casualty
GIC,Industrials,Industrial Distribution
HESAY,Consumer Cyclical,Luxury Goods
REG,Real Estate,REIT - Retail
WY,Real Estate,REIT - Specialty
MCD,Consumer Cyclical,Restaurants
WSFS,Financial Services,Banks - Regional
RMD,Healthcare,Medical Instruments & Supplies
TMHC,Consumer Cyclical,Residential Construction
BATRK,Communication Services,Entertainment
GFS,Technology,Semiconductors
MIDD,Industrials,Specialty Industrial Machinery
UPMKF,Basic Materials,Paper & Paper Products
VALE,Basic Materials,Other Industrial Metals & Mining
RVTY,Healthcare,Diagnostics & Research
RRC,Energy,Oil & Gas E&P
BKH,Utilities,Utilities - Regulated Gas
ANGO,Healthcare,Medical Instruments & Supplies
TRUMY,Healthcare,Medical Instruments & Supplies
PPRUY,Consumer Cyclical,Luxury Goods
CODYY,Industrials,Building Products & Equipment
FIX,Industrials,Engineering & Construction
PPG,Basic Materials,Specialty Chemicals
LNTH,Healthcare,Drug Manufacturers - Specialty & Generic
LH,Healthcare,Diagnostics & Research
SMGZY,Industrials,Specialty Industrial Machinery
SMEGF,Industrials,Specialty Industrial Machinery
EL,Consumer Defensive,Household & Personal Products
SYK,Healthcare,Medical Devices
SAP,Technology,Software - Application
ZBRA,Technology,Communication Equipment
BCLYF,Financial Services,Banks - Diversified
LPSN,Technology,Software - Application
ALK,Industrials,Airlines
CSGP,Real Estate,Real Estate Services
EA,Communication Services,Electronic Gaming & Multimedia
FTEC,Broad Market / ETF,Broad Market / ETF
SPG,Real Estate,REIT - Retail
VSH,Technology,Semiconductors
FSP,Real Estate,REIT - Office
TD,Financial Services,Banks - Diversified
DCI,Industrials,Specialty Industrial Machinery
CCC,Technology,Software - Application
TLRY,Healthcare,Drug Manufacturers - Specialty & Generic
OLLI,Consumer Defensive,Discount Stores
DAL,Industrials,Airlines
STLA,Consumer Cyclical,Auto Manufacturers
INTA,Technology,Software - Application
GLP,Energy,Oil & Gas Midstream
AXON,Industrials,Aerospace & Defense
SPHR,Communication Services,Entertainment
FLYW,Technology,Software - Infrastructure
LOPE,Consumer Defensive,Education & Training Services
DT,Technology,Software - Application
SBRA,Real Estate,REIT - Healthcare Facilities
WPM,Basic Materials,Gold
USFD,Consumer Defensive,Food Distribution
RNMBF,Industrials,Aerospace & Defense
ITW,Industrials,Specialty Industrial Machinery
MO,Consumer Defensive,Tobacco
KEYS,Technology,Scientific & Technical Instruments
HOG,Consumer Cyclical,Recreational Vehicles
DGX,Healthcare,Diagnostics & Research
KBCSY,Financial Services,Banks - Regional
IGV,Broad Market / ETF,Broad Market / ETF
GO,Consumer Defensive,Grocery Stores
LPX,Industrials,Building Products & Equipment
LZAGY,Healthcare,Diagnostics & Research
PSKY,Communication Services,Entertainment
PNGAY,Financial Services,Insurance - Life
UAL,Industrials,Airlines
CP,Industrials,Railroads
FTRE,Healthcare,Biotechnology
BRBR,Consumer Defensive,Packaged Foods
IEX,Industrials,Specialty Industrial Machinery
FMX,Consumer Defensive,Beverages - Brewers
GD,Industrials,Aerospace & Defense
EADSY,Industrials,Aerospace & Defense
BCS,Financial Services,Banks - Diversified
GTES,Industrials,Specialty Industrial Machinery
SLLDY,Financial Services,Insurance - Life
NGD,Basic Materials,Gold
HURC,Industrials,Specialty Industrial Machinery
SHAK,Consumer Cyclical,Restaurants
CSCO,Technology,Communication Equipment
IBDSF,Utilities,Utilities - Diversified
PH,Industrials,Specialty Industrial Machinery
BBT,Financial Services,Banks - Regional
FTV,Technology,Scientific & Technical Instruments
HAE,Healthcare,Medical Devices
CHRW,Industrials,Integrated Freight & Logistics
PERI,Communication Services,Internet Content & Information
RUN,Technology,Solar
CLX,Consumer Defensive,Household & Personal Products
REGN,Healthcare,Biotechnology
WIW,Financial Services,Asset Management
BDVSY,Industrials,Conglomerates
CNSWF,Technology,Software - Application
TSLA,Consumer Cyclical,Auto Manufacturers
CHKP,Technology,Software - Infrastructure
CHTR,Communication Services,Telecom Services
SHY,Broad Market / ETF,Broad Market / ETF
FQVLF,Basic Materials,Copper
GWRE,Technology,Software - Application
AIZ,Financial Services,Insurance - Property & Casualty
IPGP,Technology,Semiconductor Equipment & Materials
PSA,Real Estate,REIT - Industrial
CF,Basic Materials,Agricultural Inputs
XYZ,Technology,Software - Infrastructure
JLL,Real Estate,Real Estate Services
ECL,Basic Materials,Specialty Chemicals
VOYA,Financial Services,Financial Conglomerates
NRDBY,Financial Services,Banks - Regional
FLO,Consumer Defensive,Packaged Foods
FDRR,Broad Market / ETF,Broad Market / ETF
CB,Financial Services,Insurance - Property & Casualty
RARE,Healthcare,Biotechnology
MDLZ,Consumer Defensive,Confectioners
TXT,Industrials,Aerospace & Defense
STWD,Real Estate,REIT - Mortgage
AEO,Consumer Cyclical,Apparel Retail
GEL,Energy,Oil & Gas Midstream
PI,Technology,Semiconductors
VEEV,Healthcare,Health Information Services
CTSH,Technology,Information Technology Services
MKSI,Technology,Scientific & Technical Instruments
USB,Financial Services,Banks - Regional
COGT,Healthcare,Biotechnology
MGYOY,Energy,Oil & Gas Refining & Marketing
NFLX,Communication Services,Entertainment
CLH,Industrials,Waste Management
YASKY,Industrials,Electrical Equipment & Parts
VRT,Industrials,Electrical Equipment & Parts
LAZ,Financial Services,Capital Markets
PRGS,Technology,Software - Infrastructure
OXY,Energy,Oil & Gas E&P
CLNE,Energy,Oil & Gas Refining & Marketing
BLDR,Industrials,Building Products & Equipment
ATO,Utilities,Utilities - Regulated Gas
MOS,Basic Materials,Agricultural Inputs
DAY,Technology,Software - Application
NTR,Basic Materials,Agricultural Inputs
XYIGY,Basic Materials,Building Materials
AMLP,Broad Market / ETF,Broad Market / ETF
MPWR,Technology,Semiconductors
ARGX,Healthcare,Biotechnology
THG,Financial Services,Insurance - Property & Casualty
WMB,Energy,Oil & Gas Midstream
LSRCY,Technology,Semiconductor Equipment & Materials
RFI,Financial Services,Asset Management
FDEV,Broad Market / ETF,Broad Market / ETF
IBIT,Broad Market / ETF,Broad Market / ETF
NVVE,Consumer Cyclical,Specialty Retail
UCBJY,Healthcare,Biotechnology
F,Consumer Cyclical,Auto Manufacturers
FANUY,Industrials,Specialty Industrial Machinery
LHX,Industrials,Aerospace & Defense
QS,Consumer Cyclical,Auto Parts
DNBBY,Financial Services,Banks - Regional
CPNG,Consumer Cyclical,Internet Retail
DSDVY,Industrials,Integrated Freight & Logistics
TLPFY,Industrials,Specialty Business Services
SCI,Consumer Cyclical,Personal Services
FWONK,Communication Services,Entertainment
CBU,Financial Services,Banks - Regional
IBP,Consumer Cyclical,Residential Construction
OTIS,Industrials,Specialty Industrial Machinery
ISNPY,Financial Services,Banks - Regional
PUBGY,Communication Services,Advertising Agencies
NGG,Utilities,Utilities - Regulated Electric
PBA,Energy,Oil & Gas Midstream
ANDE,Consumer Defensive,Food Distribution
PPERY,Financial Services,Banks - Regional
SNAP,Communication Services,Internet Content & Information
SHLS,Technology,Solar
RNMBY,Industrials,Aerospace & Defense
HEGIY,Consumer Defensive,Household & Personal Products
ICLR,Healthcare,Diagnostics & Research
KRC,Real Estate,REIT - Office
FITB,Financial Services,Banks - Regional
HLMN,Industrials,Tools & Accessories
BDRFY,Consumer Defensive,Household & Personal Products
CL,Consumer Defensive,Household & Personal Products
CWST,Industrials,Waste Management
PCTY,Technology,Software - Application
ETR,Utilities,Utilities - Regulated Electric
GEV,Industrials,Specialty Industrial Machinery
PCAR,Industrials,Farm & Heavy Construction Machinery
GFI,Basic Materials,Gold
CDW,Technology,Information Technology Services
ENTG,Technology,Semiconductor Equipment & Materials
IVZ,Financial Services,Asset Management
DHR,Healthcare,Diagnostics & Research
COHR,Technology,Scientific & Technical Instruments
PEN,Healthcare,Medical Devices
SW,Consumer Cyclical,Packaging & Containers
GATX,Industrials,Rental & Leasing Services
CMG,Consumer Cyclical,Restaurants
FLR,Industrials,Engineering & Construction
SSMXY,Healthcare,Medical Devices
COIN,Financial Services,Financial Data & Stock Exchanges
ETN,Industrials,Specialty Industrial Machinery
BROS,Consumer Cyclical,Restaurants
PSO,Communication Services,Publishing
CON,Healthcare,Medical Care Facilities
TW,Financial Services,Capital Markets
CUBE,Real Estate,REIT - Industrial
SON,Consumer Cyclical,Packaging & Containers
ALV,Consumer Cyclical,Auto Parts
BAX,Healthcare,Medical Instruments & Supplies
FSUGY,Basic Materials,Other Industrial Metals & Mining
VAIAF,Technology,Scientific & Technical Instruments
TAP,Consumer Defensive,Beverages - Brewers
AMCX,Communication Services,Entertainment
TGOPY,Financial Services,Asset Management
PAA,Energy,Oil & Gas Midstream
FOXF,Consumer Cyclical,Auto Parts
ILPT,Real Estate,REIT - Industrial
ALNY,Healthcare,Biotechnology
OWL,Financial Services,Asset Management
MIELY,Industrials,Electrical Equipment & Parts
CPXWF,Utilities,Utilities - Independent Power Producers
OHI,Real Estate,REIT - Healthcare Facilities
CELH,Consumer Defensive,Beverages - Non-Alcoholic
CENTA,Consumer Defensive,Packaged Foods
JCI,Industrials,Building Products & Equipment
BRY,Unknown,Unknown
NTTYY,Communication Services,Telecom Services
HIG,Financial Services,Insurance - Diversified
EFA,Broad Market / ETF,Broad Market / ETF
SMCI,Technology,Computer Hardware
LNG,Energy,Oil & Gas Midstream
NNGRY,Financial Services,Insurance - Diversified
HRL,Consumer Defensive,Packaged Foods
UOVEY,Financial Services,Banks - Regional
WMS,Industrials,Building Products & Equipment
ESNT,Financial Services,Insurance - Specialty
KYN,Financial Services,Asset Management
PODD,Healthcare,Medical Devices
NTRA,Healthcare,Diagnostics & Research
DTRUY,Industrials,Farm & Heavy Construction Machinery
LEA,Consumer Cyclical,Auto Parts
ITUB,Financial Services,Banks - Regional
HCMLY,Basic Materials,Building Materials
LYB,Basic Materials,Specialty Chemicals
SKBSY,Industrials,Engineering & Construction
ADI,Technology,Semiconductors
ABBNY,Industrials,Electrical Equipment & Parts
GPI,Consumer Cyclical,Auto & Truck Dealerships
WTW,Financial Services,Insurance Brokers
HEI,Industrials,Aerospace & Defense
PK,Real Estate,REIT - Hotel & Motel
NDEKY,Basic Materials,Specialty Chemicals
BLKB,Technology,Software - Application
XLE,Broad Market / ETF,Broad Market / ETF
ALL,Financial Services,Insurance - Property & Casualty
IART,Healthcare,Medical Devices
GNK,Industrials,Marine Shipping
AMX,Communication Services,Telecom Services
CW,Industrials,Aerospace & Defense
FERG,Industrials,Industrial Distribution
GAP,Consumer Cyclical,Apparel Retail
HSQVY,Industrials,Tools & Accessories
SUI,Real Estate,REIT - Residential
SLVM,Basic Materials,Paper & Paper Products
IWF,Broad Market / ETF,Broad Market / ETF
AKZOY,Basic Materials,Specialty Chemicals
COCO,Consumer Defensive,Beverages - Non-Alcoholic
KRG,Real Estate,REIT - Retail
FIVE,Consumer Cyclical,Specialty Retail
EPRT,Real Estate,REIT - Retail
KYOCF,Industrials,Conglomerates
GRFS,Healthcare,Drug Manufacturers - General
SPB,Consumer Defensive,Household & Personal Products
AMCR,Consumer Cyclical,Packaging & Containers
OXM,Consumer Cyclical,Apparel Manufacturing
SMG,Basic Materials,Agricultural Inputs
BSX,Healthcare,Medical Devices
EVRG,Utilities,Utilities - Regulated Electric
SMTOY,Consumer Cyclical,Auto Parts
PFG,Financial Services,Asset Management
SHECY,Basic Materials,Chemicals
DHI,Consumer Cyclical,Residential Construction
KMTUY,Industrials,Farm & Heavy Construction Machinery
OPHLY,Healthcare,Drug Manufacturers - General
SPCE,Industrials,Aerospace & Defense
HELE,Consumer Defensive,Household & Personal Products
COR,Healthcare,Medical Distribution
WWD,Industrials,Aerospace & Defense
CI,Healthcare,Healthcare Plans
SXYAY,Basic Materials,Specialty Chemicals
SCGLY,Financial Services,Banks - Regional
SPXCY,Financial Services,Financial Data & Stock Exchanges
INN,Real Estate,REIT - Hotel & Motel
MTHRY,Healthcare,Health Information Services
OSW,Consumer Cyclical,Leisure
AKAM,Technology,Software - Infrastructure
THR,Industrials,Specialty Industrial Machinery
CLF,Basic Materials,Steel
SOAGY,Healthcare,Medical Instruments & Supplies
L,Financial Services,Insurance - Property & Casualty
DNNGY,Utilities,Utilities - Renewable
ICON,Industrials,Marine Shipping
CG,Financial Services,Asset Management
BMRN,Healthcare,Biotechnology
SRVR,Broad Market / ETF,Broad Market / ETF
CPT,Real Estate,REIT - Residential
NHI,Real Estate,REIT - Healthcare Facilities
SARO,Industrials,Aerospace & Defense
HON,Industrials,Conglomerates
HTGC,Financial Services,Asset Management
MSCI,Financial Services,Financial Data & Stock Exchanges
GEVO,Basic Materials,Specialty Chemicals
XPO,Industrials,Trucking
VWAGY,Consumer Cyclical,Auto Manufacturers
NJDCY,Industrials,Specialty Industrial Machinery
CCL,Consumer Cyclical,Travel Services
DUOL,Technology,Software - Application
BNPQY,Financial Services,Banks - Regional
REZI,Industrials,Industrial Distribution
FCN,Industrials,Consulting Services
TFX,Healthcare,Medical Instruments & Supplies
FCPT,Real Estate,REIT - Retail
STM,Technology,Semiconductors
UDR,Real Estate,REIT - Residential
DVN,Energy,Oil & Gas E&P
BMY,Healthcare,Drug Manufacturers - General
BWXT,Industrials,Aerospace & Defense
CRM,Technology,Software - Application
CX,Basic Materials,Building Materials
OLPX,Consumer Cyclical,Specialty Retail
ENGIY,Utilities,Utilities - Diversified
ALE,Unknown,Unknown
ACGL,Financial Services,Insurance - Diversified
EQH,Financial Services,Asset Management
NWL,Consumer Defensive,Household & Personal Products
LI,Consumer Cyclical,Auto Manufacturers
HTLD,Industrials,Trucking
CMPO,Industrials,Metal Fabrication
UNM,Financial Services,Insurance - Life
HD,Consumer Cyclical,Home Improvement Retail
SNN,Healthcare,Medical Devices
CRARY,Financial Services,Banks - Regional
VSCO,Consumer Cyclical,Apparel Retail
PTAIY,Industrials,Conglomerates
KKPNY,Communication Services,Telecom Services
FWRG,Consumer Cyclical,Restaurants
GLD,Broad Market / ETF,Broad Market / ETF
SBUX,Consumer Cyclical,Restaurants
AMZN,Consumer Cyclical,Internet Retail
HST,Real Estate,REIT - Hotel & Motel
UAA,Consumer Cyclical,Apparel Manufacturing
QBIEY,Financial Services,Insurance - Property & Casualty
AMRC,Industrials,Engineering & Construction
MNST,Consumer Defensive,Beverages - Non-Alcoholic
KT,Communication Services,Telecom Services
EQNR,Energy,Oil & Gas Integrated
AMADY,Technology,Information Technology Services
KTOS,Industrials,Aerospace & Defense
RTX,Industrials,Aerospace & Defense
PTC,Technology,Software - Application
NDSN,Industrials,Specialty Industrial Machinery
WBS,Financial Services,Banks - Regional
WSM,Consumer Cyclical,Specialty Retail
SCHP,Broad Market / ETF,Broad Market / ETF
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic
BAP,Financial Services,Banks - Regional
SIGI,Financial Services,Insurance - Property & Casualty
RPD,Technology,Software - Infrastructure
EG,Financial Services,Insurance - Reinsurance
PSTG,Technology,Computer Hardware
AR,Energy,Oil & Gas E&P
IQV,Healthcare,Diagnostics & Research
FBP,Financial Services,Banks - Regional
GNGBY,Healthcare,Medical Devices
GOLD,Financial Services,Capital Markets
EXPE,Consumer Cyclical,Travel Services
HL,Basic Materials,Other Precious Metals & Mining
MSSMY,Industrials,Tools & Accessories
KKOYY,Consumer Defensive,Grocery Stores
ASHTY,Unknown,Unknown
DKS,Consumer Cyclical,Specialty Retail
TJX,Consumer Cyclical,Apparel Retail
ZTO,Industrials,Integrated Freight & Logistics
BEPC,Utilities,Utilities - Renewable
IT,Technology,Information Technology Services
NWN,Utilities,Utilities - Regulated Gas
FBIN,Industrials,Building Products & Equipment
HURA,Healthcare,Biotechnology
UFPI,Basic Materials,Lumber & Wood Production
IYY,Broad Market / ETF,Broad Market / ETF
CMI,Industrials,Specialty Industrial Machinery
HMN,Financial Services,Insurance - Property & Casualty
TCEHY,Communication Services,Internet Content & Information
GRMN,Technology,Scientific & Technical Instruments
NOVT,Technology,Scientific & Technical Instruments
CYRX,Industrials,Integrated Freight & Logistics
GTLS,Industrials,Specialty Industrial Machinery
CSLLY,Healthcare,Biotechnology
NSA,Real Estate,REIT - Industrial
MKTX,Financial Services,Capital Markets
TOTZF,Energy,Oil & Gas Equipment & Services
GIS,Consumer Defensive,Packaged Foods
WDS,Energy,Oil & Gas E&P
PDM,Real Estate,REIT - Office
CCOEY,Communication Services,Electronic Gaming & Multimedia
TKO,Communication Services,Entertainment
SCCO,Basic Materials,Copper
DVA,Healthcare,Medical Care Facilities
BCO,Industrials,Security & Protection Services
LBTYA,Communication Services,Telecom Services
CCI,Real Estate,REIT - Specialty
TSCO,Consumer Cyclical,Specialty Retail
VDMCY,Communication Services,Telecom Services
APD,Basic Materials,Specialty Chemicals
CIEN,Technology,Communication Equipment
FANG,Energy,Oil & Gas E&P
BIDU,Communication Services,Internet Content & Information
QUAD,Industrials,Specialty Business Services
TRUP,Financial Services,Insurance - Property & Casualty
MTSI,Technology,Semiconductors
TWST,Healthcare,Diagnostics & Research
KR,Consumer Defensive,Grocery Stores
BP,Energy,Oil & Gas Integrated
GPK,Consumer Cyclical,Packaging & Containers
KURA,Healthcare,Biotechnology
TXNM,Utilities,Utilities - Regulated Electric
HMC,Consumer Cyclical,Auto Manufacturers
BBWI,Consumer Cyclical,Specialty Retail
AORT,Healthcare,Medical Devices
LCID,Consumer Cyclical,Auto Manufacturers
BLNK,Industrials,Engineering & Construction
DRPRY,Consumer Cyclical,Auto Manufacturers
RGA,Financial Services,Insurance - Reinsurance
AON,Financial Services,Insurance Brokers
JAZZ,Healthcare,Biotechnology
ASC,Industrials,Marine Shipping
ASGN,Technology,Information Technology Services
PAR,Technology,Software - Application
FUJIY,Industrials,Conglomerates
NVS,Healthcare,Drug Manufacturers - General
TRI,Industrials,Specialty Business Services
SKY,Consumer Cyclical,Residential Construction
SMTC,Technology,Semiconductors
SOBKY,Communication Services,Telecom Services
ADDYY,Consumer Cyclical,Footwear & Accessories
HIW,Real Estate,REIT - Office
ATR,Healthcare,Medical Instruments & Supplies
INCY,Healthcare,Biotechnology
ABNB,Consumer Cyclical,Travel Services
TEF,Communication Services,Telecom Services
GFL,Industrials,Waste Management
TMICY,Technology,Software - Infrastructure
GL,Financial Services,Insurance - Life
KVUE,Consumer Defensive,Household & Personal Products
KEY,Financial Services,Banks - Regional
YTRA,Consumer Cyclical,Travel Services
MTD,Healthcare,Diagnostics & Research
MELI,Consumer Cyclical,Internet Retail
PPL,Utilities,Utilities - Regulated Electric
PLTK,Communication Services,Electronic Gaming & Multimedia
O,Real Estate,REIT - Retail
VSAT,Technology,Communication Equipment
SU,Energy,Oil & Gas Integrated
SCHF,Broad Market / ETF,Broad Market / ETF
AMJ,Broad Market / ETF,Broad Market / ETF
PAVE,Broad Market / ETF,Broad Market / ETF
CPB,Consumer Defensive,Packaged Foods
DWAHY,Real Estate,Real Estate - Development
KCDMY,Consumer Defensive,Household & Personal Products
SVNLY,Financial Services,Banks - Diversified
EFC,Real Estate,REIT - Mortgage
LNT,Utilities,Utilities - Regulated Electric
NTES,Communication Services,Electronic Gaming & Multimedia
PSX,Energy,Oil & Gas Refining & Marketing
CNQ,Energy,Oil & Gas E&P
VIASP,Utilities,Utilities - Regulated Electric
ONEQ,Broad Market / ETF,Broad Market / ETF
ETSY,Consumer Cyclical,Internet Retail
AVY,Consumer Cyclical,Packaging & Containers
CVS,Healthcare,Healthcare Plans
INTC,Technology,Semiconductors
ICL,Basic Materials,Agricultural Inputs
DXC,Technology,Information Technology Services
BAH,Industrials,Consulting Services
RBC,Industrials,Tools & Accessories
TYG,Financial Services,Asset Management
RITM,Real Estate,REIT - Mortgage
VNOM,Energy,Oil & Gas Midstream
AEIS,Industrials,Electrical Equipment & Parts
NIO,Consumer Cyclical,Auto Manufacturers
ES,Utilities,Utilities - Regulated Electric
RRX,Industrials,Specialty Industrial Machinery
SHW,Basic Materials,Specialty Chemicals
INFO,Broad Market / ETF,Broad Market / ETF
BXMT,Real Estate,REIT - Mortgage
IIPR,Real Estate,REIT - Industrial
WFAFY,Consumer Cyclical,Home Improvement Retail
BABA,Consumer Cyclical,Internet Retail
FAS,Broad Market / ETF,Broad Market / ETF
DUK,Utilities,Utilities - Regulated Electric
LBRDA,Communication Services,Telecom Services
PLTR,Technology,Software - Infrastructure
SCMWY,Communication Services,Telecom Services
UL,Consumer Defensive,Household & Personal Products
PPA,Broad Market / ETF,Broad Market / ETF
SMFNF,Financial Services,Banks - Diversified
BTI,Consumer Defensive,Tobacco
OVV,Energy,Oil & Gas E&P
CRZBY,Financial Services,Banks - Regional
DEO,Consumer Defensive,Beverages - Wineries & Distilleries
TTE,Energy,Oil & Gas Integrated
SONY,Technology,Consumer Electronics
CNC,Healthcare,Healthcare Plans
BJ,Consumer Defensive,Discount Stores
SO,Utilities,Utilities - Regulated Electric
GOFPY,Consumer Cyclical,Gambling
ALFVY,Industrials,Specialty Industrial Machinery
EQT,Energy,Oil & Gas E&P
NNGPF,Financial Services,Insurance - Diversified
UVSP,Financial Services,Banks - Regional
TT,Industrials,Building Products & Equipment
INSP,Healthcare,Medical Devices
CADE,Financial Services,Banks - Regional
