BioGuideID,GovTrackID,Congress_Session,Chamber,Committee_Code,Parent_Committee_Name,Subcommittee_Name,Role,Is_Subcommittee
G000563,412463,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
G000564,412453,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
G000564,412453,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
H001053,412444,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
H001053,412444,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
H001057,412429,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
H001057,412429,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
H001057,412429,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
H001059,412422,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
H001059,412422,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
H001059,412422,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
K000362,400220,112,house,HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee",Member,1
K000362,400220,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
K000362,400220,112,house,HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee,Member,1
K000362,400220,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
M000312,400263,112,house,HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee",Member,1
M000312,400263,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
M000485,400266,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
M000485,400266,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
N000182,400441,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
N000182,400441,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
N000184,412475,112,house,HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee",Member,1
N000184,412475,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
N000184,412475,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
O000169,412383,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
O000169,412383,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
P000597,412307,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
P000597,412307,112,house,HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee,Member,1
R000583,412311,112,house,HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee,Member,1
R000583,412311,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Chair,1
R000587,412489,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
R000587,412489,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
R000591,412394,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
R000591,412394,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
S001157,400363,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
S001157,400363,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
S001180,412315,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
S001180,412315,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
S001185,412396,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
S001185,412396,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
S001186,412408,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
S001186,412408,112,house,HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee,Member,1
S001188,412392,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
S001188,412392,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
S001189,412417,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
S001189,412417,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
T000467,412317,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Chair,1
T000467,412317,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
T000470,412405,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
UNKNOWN,400207,112,house,HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee",Member,1
UNKNOWN,400009,112,house,HSAG-22,House Committee on Agriculture,"Department Operations, Oversight, and Credit Subcommittee",Member,1
UNKNOWN,400183,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Ranking Member,1
UNKNOWN,412312,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
UNKNOWN,412010,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
UNKNOWN,412423,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
UNKNOWN,400042,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Ranking Member,1
UNKNOWN,412287,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
UNKNOWN,400065,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
UNKNOWN,412010,112,house,HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee,Chair,1
UNKNOWN,400009,112,house,HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee,Ranking Member,1
UNKNOWN,412312,112,house,HSAG-03,House Committee on Agriculture,Nutrition and Horticulture Subcommittee,Member,1
UNKNOWN,400065,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Ranking Member,1
UNKNOWN,400183,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
UNKNOWN,400042,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
UNKNOWN,400009,112,house,HSAG-29,House Committee on Agriculture,"Livestock, Dairy, and Poultry Subcommittee",Member,1
UNKNOWN,400207,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Chair,1
UNKNOWN,412423,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
UNKNOWN,412287,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
W000799,412214,112,house,HSAG-15,House Committee on Agriculture,"Conservation, Energy, and Forestry Subcommittee",Member,1
W000799,412214,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
W000800,412239,112,house,HSAG-16,House Committee on Agriculture,General Farm Commodities and Risk Management Subcommittee,Member,1
W000800,412239,112,house,HSAG-14,House Committee on Agriculture,"Rural Development, Research, Biotechnology, and Foreign Agriculture Subcommittee",Member,1
A000055,400004,112,house,HSAP,House Committee on Appropriations,,Member,0
A000361,400006,112,house,HSAP,House Committee on Appropriations,,Member,0
B000490,400030,112,house,HSAP,House Committee on Appropriations,,Member,0
B001244,400038,112,house,HSAP,House Committee on Appropriations,,Member,0
C000059,400057,112,house,HSAP,House Committee on Appropriations,,Member,0
C001045,400086,112,house,HSAP,House Committee on Appropriations,,Member,0
C001048,400089,112,house,HSAP,House Committee on Appropriations,,Member,0
C001051,400068,112,house,HSAP,House Committee on Appropriations,,Member,0
C001053,400077,112,house,HSAP,House Committee on Appropriations,,Member,0
D000216,400103,112,house,HSAP,House Committee on Appropriations,,Member,0
D000600,400108,112,house,HSAP,House Committee on Appropriations,,Member,0
D000604,400648,112,house,HSAP,House Committee on Appropriations,,Member,0
E000172,400121,112,house,HSAP,House Committee on Appropriations,,Member,0
F000030,400129,112,house,HSAP,House Committee on Appropriations,,Member,0
F000043,400130,112,house,HSAP,House Committee on Appropriations,,Member,0
F000372,400142,112,house,HSAP,House Committee on Appropriations,,Member,0
F000444,400134,112,house,HSAP,House Committee on Appropriations,,Member,0
G000377,400157,112,house,HSAP,House Committee on Appropriations,,Member,0
G000560,412388,112,house,HSAP,House Committee on Appropriations,,Member,0
H001034,400185,112,house,HSAP,House Committee on Appropriations,,Member,0
K000009,400211,112,house,HSAP,House Committee on Appropriations,,Member,0
K000220,400221,112,house,HSAP,House Committee on Appropriations,,Member,0
L000111,400234,112,house,HSAP,House Committee on Appropriations,,Member,0
L000480,400246,112,house,HSAP,House Committee on Appropriations,,Member,0
L000551,400237,112,house,HSAP,House Committee on Appropriations,,Member,0
L000571,412294,112,house,HSAP,House Committee on Appropriations,,Member,0
M000933,400283,112,house,HSAP,House Committee on Appropriations,,Member,0
M001143,400259,112,house,HSAP,House Committee on Appropriations,,Member,0
N000186,412442,112,house,HSAP,House Committee on Appropriations,,Member,0
P000099,400310,112,house,HSAP,House Committee on Appropriations,,Member,0
P000523,400326,112,house,HSAP,House Committee on Appropriations,,Member,0
R000395,400340,112,house,HSAP,House Committee on Appropriations,,Chair,0
R000486,400347,112,house,HSAP,House Committee on Appropriations,,Member,0
S000248,400366,112,house,HSAP,House Committee on Appropriations,,Member,0
S001148,400376,112,house,HSAP,House Committee on Appropriations,,Member,0
S001150,400361,112,house,HSAP,House Committee on Appropriations,,Member,0
UNKNOWN,400239,112,house,HSAP,House Committee on Appropriations,,Member,0
UNKNOWN,400335,112,house,HSAP,House Committee on Appropriations,,Member,0
UNKNOWN,400235,112,house,HSAP,House Committee on Appropriations,,Member,0
UNKNOWN,412265,112,house,HSAP,House Committee on Appropriations,,Member,0
UNKNOWN,400109,112,house,HSAP,House Committee on Appropriations,,Ranking Member,0
UNKNOWN,400301,112,house,HSAP,House Committee on Appropriations,,Member,0
UNKNOWN,400178,112,house,HSAP,House Committee on Appropriations,,Member,0
UNKNOWN,400198,112,house,HSAP,House Committee on Appropriations,,Member,0
UNKNOWN,400346,112,house,HSAP,House Committee on Appropriations,,Member,0
V000108,400417,112,house,HSAP,House Committee on Appropriations,,Member,0
W000672,400435,112,house,HSAP,House Committee on Appropriations,,Member,0
W000809,412402,112,house,HSAP,House Committee on Appropriations,,Member,0
Y000031,400439,112,house,HSAP,House Committee on Appropriations,,Member,0
Y000063,412430,112,house,HSAP,House Committee on Appropriations,,Member,0
A000055,400004,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Member,1
A000055,400004,112,house,HSAP-19,House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies Subcommittee",Member,1
A000055,400004,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Chair,1
A000361,400006,112,house,HSAP-10,House Committee on Appropriations,"Energy and Water Development, and Related Agencies Subcommittee",Member,1
A000361,400006,112,house,HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee,Member,1
A000361,400006,112,house,HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Member,1
B000490,400030,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Member,1
B000490,400030,112,house,HSAP-24,House Committee on Appropriations,Legislative Branch Subcommittee,Member,1
B000490,400030,112,house,HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee",Ranking Member,1
B001244,400038,112,house,HSAP-19,House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies Subcommittee",Member,1
B001244,400038,112,house,HSAP-02,House Committee on Appropriations,Defense Subcommittee,Member,1
B001244,400038,112,house,HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee,Member,1
C000059,400057,112,house,HSAP-02,House Committee on Appropriations,Defense Subcommittee,Member,1
C000059,400057,112,house,HSAP-06,House Committee on Appropriations,"Interior, Environment, and Related Agencies Subcommittee",Member,1
C000059,400057,112,house,HSAP-24,House Committee on Appropriations,Legislative Branch Subcommittee,Member,1
C001045,400086,112,house,HSAP-02,House Committee on Appropriations,Defense Subcommittee,Member,1
C001045,400086,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Member,1
C001045,400086,112,house,HSAP-24,House Committee on Appropriations,Legislative Branch Subcommittee,Chair,1
C001048,400089,112,house,HSAP-19,House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies Subcommittee",Member,1
C001048,400089,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Member,1
C001048,400089,112,house,HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee",Chair,1
C001051,400068,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Member,1
C001051,400068,112,house,HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee",Member,1
C001051,400068,112,house,HSAP-20,House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee",Member,1
C001053,400077,112,house,HSAP-02,House Committee on Appropriations,Defense Subcommittee,Member,1
C001053,400077,112,house,HSAP-06,House Committee on Appropriations,"Interior, Environment, and Related Agencies Subcommittee",Member,1
C001053,400077,112,house,HSAP-04,House Committee on Appropriations,"State, Foreign Operations, and Related Programs Subcommittee",Member,1
D000216,400103,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Member,1
D000216,400103,112,house,HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Ranking Member,1
D000600,400108,112,house,HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee,Member,1
D000600,400108,112,house,HSAP-04,House Committee on Appropriations,"State, Foreign Operations, and Related Programs Subcommittee",Member,1
D000600,400108,112,house,HSAP-20,House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee",Member,1
D000604,400648,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Member,1
D000604,400648,112,house,HSAP-04,House Committee on Appropriations,"State, Foreign Operations, and Related Programs Subcommittee",Member,1
D000604,400648,112,house,HSAP-20,House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee",Member,1
E000172,400121,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Member,1
E000172,400121,112,house,HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee,Chair,1
E000172,400121,112,house,HSAP-24,House Committee on Appropriations,Legislative Branch Subcommittee,Member,1
F000030,400129,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Ranking Member,1
F000030,400129,112,house,HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee",Member,1
F000043,400130,112,house,HSAP-19,House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies Subcommittee",Ranking Member,1
F000043,400130,112,house,HSAP-10,House Committee on Appropriations,"Energy and Water Development, and Related Agencies Subcommittee",Member,1
F000372,400142,112,house,HSAP-02,House Committee on Appropriations,Defense Subcommittee,Member,1
F000372,400142,112,house,HSAP-10,House Committee on Appropriations,"Energy and Water Development, and Related Agencies Subcommittee",Chair,1
F000372,400142,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Member,1
F000444,400134,112,house,HSAP-06,House Committee on Appropriations,"Interior, Environment, and Related Agencies Subcommittee",Member,1
F000444,400134,112,house,HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Member,1
F000444,400134,112,house,HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee",Member,1
G000377,400157,112,house,HSAP-02,House Committee on Appropriations,Defense Subcommittee,Member,1
G000377,400157,112,house,HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Member,1
G000377,400157,112,house,HSAP-04,House Committee on Appropriations,"State, Foreign Operations, and Related Programs Subcommittee",Chair,1
G000560,412388,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Member,1
G000560,412388,112,house,HSAP-19,House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies Subcommittee",Member,1
G000560,412388,112,house,HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee,Member,1
H001034,400185,112,house,HSAP-19,House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies Subcommittee",Member,1
H001034,400185,112,house,HSAP-24,House Committee on Appropriations,Legislative Branch Subcommittee,Ranking Member,1
K000009,400211,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Member,1
K000009,400211,112,house,HSAP-02,House Committee on Appropriations,Defense Subcommittee,Member,1
K000009,400211,112,house,HSAP-20,House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee",Member,1
K000220,400221,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Chair,1
K000220,400221,112,house,HSAP-02,House Committee on Appropriations,Defense Subcommittee,Member,1
K000220,400221,112,house,HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Member,1
L000111,400234,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Member,1
L000111,400234,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Member,1
L000111,400234,112,house,HSAP-20,House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee",Chair,1
L000480,400246,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Member,1
L000480,400246,112,house,HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Member,1
L000480,400246,112,house,HSAP-04,House Committee on Appropriations,"State, Foreign Operations, and Related Programs Subcommittee",Ranking Member,1
L000551,400237,112,house,HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee,Member,1
L000551,400237,112,house,HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Member,1
L000571,412294,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Member,1
L000571,412294,112,house,HSAP-06,House Committee on Appropriations,"Interior, Environment, and Related Agencies Subcommittee",Member,1
L000571,412294,112,house,HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Member,1
M000933,400283,112,house,HSAP-02,House Committee on Appropriations,Defense Subcommittee,Member,1
M000933,400283,112,house,HSAP-06,House Committee on Appropriations,"Interior, Environment, and Related Agencies Subcommittee",Ranking Member,1
M000933,400283,112,house,HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee",Member,1
M001143,400259,112,house,HSAP-06,House Committee on Appropriations,"Interior, Environment, and Related Agencies Subcommittee",Member,1
M001143,400259,112,house,HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee",Member,1
N000186,412442,112,house,HSAP-01,House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee",Member,1
N000186,412442,112,house,HSAP-10,House Committee on Appropriations,"Energy and Water Development, and Related Agencies Subcommittee",Member,1
N000186,412442,112,house,HSAP-18,House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee",Member,1
P000099,400310,112,house,HSAP-10,House Committee on Appropriations,"Energy and Water Development, and Related Agencies Subcommittee",Member,1
P000099,400310,112,house,HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee,Member,1
P000099,400310,112,house,HSAP-20,House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee",Member,1
P000523,400326,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Ranking Member,1
P000523,400326,112,house,HSAP-24,House Committee on Appropriations,Legislative Branch Subcommittee,Member,1
P000523,400326,112,house,HSAP-20,House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee",Member,1
R000486,400347,112,house,HSAP-15,House Committee on Appropriations,Homeland Security Subcommittee,Member,1
R000486,400347,112,house,HSAP-07,House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee",Member,1
S000248,400366,112,house,HSAP-19,House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies Subcommittee",Member,1
S000248,400366,112,house,HSAP-23,House Committee on Appropriations,Financial Services and General Government Subcommittee,Ranking Member,1
S000248,400366,112,house,HSAP-06,House Committee on Appropriations,"Interior, Environment, and Related Agencies Subcommittee",Member,1
