House Committee on Agriculture
House Committee on Foreign Affairs;Europe and Eurasia Subcommittee
House Committee on Foreign Affairs;The Middle East and South Asia Subcommittee
"House Committee on Foreign Affairs;Africa, Global Health, and Human Rights Subcommittee"
House Committee on Foreign Affairs;Oversight and Investigations Subcommittee
House Committee on Foreign Affairs;Asia and the Pacific Subcommittee
"House Committee on Foreign Affairs;Terrorism, Nonproliferation, and Trade Subcommittee"
House Committee on Foreign Affairs;The Western Hemisphere Subcommittee
House Committee on Homeland Security
"House Committee on Homeland Security;Oversight, Investigations, and Management Subcommittee"
"House Committee on Homeland Security;Emergency Preparedness, Response and Communications Subcommittee"
House Committee on Homeland Security;Border and Maritime Security Subcommittee
House Committee on Homeland Security;Counterterrorism and Intelligence Subcommittee
"House Committee on Homeland Security;Cybersecurity, Infrastructure Protection, and Security Technologies Subcommittee"
House Committee on Homeland Security;Transportation Security Subcommittee
House Committee on House Administration
House Committee on House Administration;Elections Subcommittee
House Committee on House Administration;Oversight Subcommittee
House Committee on Natural Resources
House Committee on Natural Resources;Energy and Mineral Resources Subcommittee
"House Committee on Natural Resources;National Parks, Forests and Public Lands Subcommittee"
"House Committee on Natural Resources;Fisheries, Wildlife, Oceans and Insular Affairs Subcommittee"
House Committee on Natural Resources;Indian and Alaska Native Affairs Subcommittee
House Committee on Natural Resources;Water and Power Subcommittee
House Committee on Oversight and Government Reform
"House Committee on Oversight and Government Reform;Federal Workforce, U.S. Postal Service and Labor Policy Subcommittee"
"House Committee on Oversight and Government Reform;Government Organization, Efficiency and Financial Management Subcommittee"
"House Committee on Oversight and Government Reform;TARP, Financial Services and Bailouts of Public and Private Programs Subcommittee"
"House Committee on Oversight and Government Reform;National Security, Homeland Defense and Foreign Operations Subcommittee"
"House Committee on Oversight and Government Reform;Regulatory Affairs, Stimulus Oversight and Government Spending Subcommittee"
"House Committee on Oversight and Government Reform;Health Care, District of Columbia, Census and the National Archives Subcommittee"
"House Committee on Oversight and Government Reform;Technology, Information Policy, Intergovernmental Relations and Procurement Reform Subcommittee"
House Committee on Rules
House Committee on Rules;Rules and Organization of the House Subcommittee
House Committee on Rules;Legislative and Budget Process Subcommittee
"House Committee on Science, Space, and Technology"
"House Committee on Science, Space, and Technology;Energy and Environment Subcommittee"
"House Committee on Science, Space, and Technology;Investigations and Oversight Subcommittee"
"House Committee on Science, Space, and Technology;Research and Science Education Subcommittee"
"House Committee on Science, Space, and Technology;Space and Aeronautics Subcommittee"
"House Committee on Science, Space, and Technology;Technology and Innovation Subcommittee"
House Committee on Small Business
"House Committee on Small Business;Agriculture, Energy and Trade Subcommittee"
House Committee on Small Business;Contracting and Workforce Subcommittee
"House Committee on Small Business;Economic Growth, Tax and Capital Access Subcommittee"
"House Committee on Small Business;Investigations, Oversight and Regulations Subcommittee"
House Committee on Small Business;Healthcare and Technology Subcommittee
House Committee on Transportation and Infrastructure
House Committee on Transportation and Infrastructure;Coast Guard and Maritime Transportation Subcommittee
"House Committee on Transportation and Infrastructure;Railroads, Pipelines, and Hazardous Materials Subcommittee"
House Committee on Transportation and Infrastructure;Water Resources and Environment Subcommittee
"House Committee on Transportation and Infrastructure;Economic Development, Public Buildings, and Emergency Management Subcommittee"
House Committee on Transportation and Infrastructure;Highways and Transit Subcommittee
House Committee on Transportation and Infrastructure;Aviation Subcommittee
House Committee on Veterans' Affairs
House Committee on Veterans' Affairs;Economic Opportunity Subcommittee
House Committee on Veterans' Affairs;Health Subcommittee
House Committee on Veterans' Affairs;Disability Assistance and Memorial Affairs Subcommittee
House Committee on Veterans' Affairs;Oversight and Investigations Subcommittee
House Committee on Ways and Means
House Committee on Ways and Means;Oversight Subcommittee
House Committee on Ways and Means;Social Security Subcommittee
House Committee on Ways and Means;Health Subcommittee
House Committee on Ways and Means;Trade Subcommittee
House Committee on Ways and Means;Human Resources Subcommittee
House Committee on Ways and Means;Select Revenue Measures Subcommittee
House Committee on the Budget
House Committee on the Judiciary
"House Committee on the Judiciary;Crime, Terrorism, and Homeland Security Subcommittee"
"House Committee on the Judiciary;Intellectual Property, Competition, and the Internet Subcommittee"
House Committee on the Judiciary;The Constitution Subcommittee
"House Committee on the Judiciary;Courts, Commercial and Administrative Law Subcommittee"
House Committee on the Judiciary;Immigration Policy and Enforcement Subcommittee
House Permanent Select Committee on Intelligence
House Permanent Select Committee on Intelligence;Technical and Tactical Intelligence Subcommittee
House Permanent Select Committee on Intelligence;Oversight and Investigations Subcommittee
"House Permanent Select Committee on Intelligence;Terrorism, Human Intelligence, Analysis, and Counterintelligence Subcommittee"
Joint Committee on Printing
Joint Committee on Taxation
Joint Committee on the Library
Joint Economic Committee
Joint Select Committee on Deficit Reduction
Senate Commission on Security and Cooperation in Europe
"Senate Committee on Agriculture, Nutrition, and Forestry"
"Senate Committee on Agriculture, Nutrition, and Forestry;Commodities, Markets, Trade and Risk Management"
"Senate Committee on Agriculture, Nutrition, and Forestry;Conservation, Forestry and Natural Resources"
"Senate Committee on Agriculture, Nutrition, and Forestry;Livestock, Dairy, Poultry, Marketing and Agriculture Security"
"Senate Committee on Agriculture, Nutrition, and Forestry;Jobs, Rural Economic Growth and Energy Innovation"
"Senate Committee on Agriculture, Nutrition, and Forestry;Nutrition, Specialty Crops, Food and Agricultural Research"
Senate Committee on Appropriations
"Senate Committee on Appropriations;Commerce, Justice, Science, and Related Agencies"
Senate Committee on Appropriations;Department of Defense
"Senate Committee on Appropriations;Department of the Interior, Environment, and Related Agencies"
"Senate Committee on Appropriations;Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Senate Committee on Appropriations;Energy and Water Development
"Senate Committee on Appropriations;Transportation and Housing and Urban Development, and Related Agencies"
"Senate Committee on Appropriations;Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"
"Senate Committee on Appropriations;Military Construction and Veterans Affairs, and Related Agencies"
"Senate Committee on Appropriations;State, Foreign Operations, and Related Programs"
Senate Committee on Appropriations;Legislative Branch
Senate Committee on Appropriations;Department of Homeland Security
Senate Committee on Appropriations;Financial Service and General Government
Senate Committee on Armed Services
Senate Committee on Armed Services;Personnel
Senate Committee on Armed Services;Readiness and Management Support
Senate Committee on Armed Services;SeaPower
Senate Committee on Armed Services;Strategic Forces
Senate Committee on Armed Services;Airland
Senate Committee on Armed Services;Emerging Threats and Capabilities
"Senate Committee on Banking, Housing, and Urban Affairs"
"Senate Committee on Banking, Housing, and Urban Affairs;Financial Institutions and Consumer Protection"
"Senate Committee on Banking, Housing, and Urban Affairs;Housing, Transportation and Community Development"
"Senate Committee on Banking, Housing, and Urban Affairs;Security and International Trade and Finance"
"Senate Committee on Banking, Housing, and Urban Affairs;Securities, Insurance and Investment"
"Senate Committee on Banking, Housing, and Urban Affairs;Economic Policy"
"Senate Committee on Commerce, Science, and Transportation"
"Senate Committee on Commerce, Science, and Transportation;Communications, Technology, and the Internet"
"Senate Committee on Commerce, Science, and Transportation;Competitiveness, Innovation, and Export Promotion"
"Senate Committee on Commerce, Science, and Transportation;Oceans, Atmosphere, Fisheries, and Coast Guard"
"Senate Committee on Commerce, Science, and Transportation;Science and Space"
"Senate Committee on Commerce, Science, and Transportation;Surface Transportation and Merchant Marine Infrastructure, Safety, and Security"
"Senate Committee on Commerce, Science, and Transportation;Aviation Operations, Safety, and Security"
"Senate Committee on Commerce, Science, and Transportation;Consumer Protection, Product Safety, and Insurance"
Senate Committee on Energy and Natural Resources
Senate Committee on Energy and Natural Resources;Energy
Senate Committee on Energy and Natural Resources;National Parks
Senate Committee on Energy and Natural Resources;Public Lands and Forests
Senate Committee on Energy and Natural Resources;Water and Power
Senate Committee on Environment and Public Works
Senate Committee on Finance
"Senate Committee on Finance;Energy, Natural Resources, and Infrastructure"
Senate Committee on Finance;Fiscal Responsibility and Economic Growth
Senate Committee on Finance;Health Care
"Senate Committee on Finance;International Trade, Customs, and Global Competitiveness"
"Senate Committee on Finance;Social Security, Pensions and Family Policy"
Senate Committee on Finance;Taxation and IRS Oversight
Senate Committee on Foreign Relations
Senate Committee on Foreign Relations;East Asian and Pacific Affairs
"Senate Committee on Foreign Relations;International Operations and Organizations, Human Rights, Democracy and Global Women's Issues"
Senate Committee on Foreign Relations;Near Eastern and South and Central Asian Affairs
"Senate Committee on Foreign Relations;Western Hemisphere, Peace Corps and Global Narcotics Affairs"
Senate Committee on Foreign Relations;European Affairs
Senate Committee on Foreign Relations;African Affairs
"Senate Committee on Foreign Relations;International Development and Foreign Assistance, Economic Affairs and International Environmental Protection"
"Senate Committee on Health, Education, Labor, and Pensions"
"Senate Committee on Health, Education, Labor, and Pensions;Children and Families"
"Senate Committee on Health, Education, Labor, and Pensions;Employment and Workplace Safety"
"Senate Committee on Health, Education, Labor, and Pensions;Primary Health and Aging"
Senate Committee on Homeland Security and Governmental Affairs
Senate Committee on Homeland Security and Governmental Affairs;Ad Hoc Subcommittee on Contracting Oversight
Senate Committee on Homeland Security and Governmental Affairs;Investigations
"Senate Committee on Homeland Security and Governmental Affairs;Federal Financial Management, Government Information, Federal Services, and International Security"
"Senate Committee on Homeland Security and Governmental Affairs;Oversight of Government Management, the Federal Workforce, and the District of Columbia"
Senate Committee on Homeland Security and Governmental Affairs;Ad Hoc Subcommittee on Disaster Recovery and Intergovernmental Affairs
Senate Committee on Indian Affairs
Senate Committee on Rules and Administration
Senate Committee on Small Business and Entrepreneurship
Senate Committee on Veterans' Affairs
Senate Committee on the Budget
Senate Committee on the Judiciary
"Senate Committee on the Judiciary;Antitrust, Competition Policy and Consumer Rights"
"Senate Committee on the Judiciary;Immigration, Refugees and Border Security"
"Senate Committee on the Judiciary;Privacy, Technology and the Law"
"Senate Committee on the Judiciary;the Constitution, Civil Rights and Human Rights"
Senate Committee on the Judiciary;Administrative Oversight and the Courts
Senate Committee on the Judiciary;Crime and Terrorism
Senate Select Committee on Ethics
Senate Select Committee on Intelligence
Senate Special Committee on Aging
United States Senate Caucus on International Narcotics Control
Commission on Security and Cooperation in Europe
"House Committee on Agriculture;Livestock, Rural Development, and Credit Subcommittee"
"House Committee on Agriculture;Horticulture, Research, Biotechnology, and Foreign Agriculture Subcommittee"
"House Committee on Agriculture;Department Operations, Oversight, and Nutrition Subcommittee"
"House Committee on Armed Services;Intelligence, Emerging Threats and Capabilities Subcommittee"
House Committee on Financial Services;Housing and Insurance Subcommittee
House Committee on Financial Services;Monetary Policy and Trade Subcommittee
"House Committee on Foreign Affairs;Africa, Global Health, Global Human Rights, and International Organizations Subcommittee"
House Committee on Foreign Affairs;The Middle East and North Africa Subcommittee
"House Committee on Foreign Affairs;Europe, Eurasia, and Emerging Threats Subcommittee"
House Committee on Homeland Security;Oversight and Management Efficiency Subcommittee
House Committee on Natural Resources;Public Lands and Environmental Regulation Subcommittee
House Committee on Oversight and Government Reform;Government Operations Subcommittee
House Committee on Oversight and Government Reform;National Security Subcommittee
"House Committee on Oversight and Government Reform;Economic Growth, Job Creation, and Regulatory Affairs Subcommittee"
"House Committee on Oversight and Government Reform;Energy Policy, Health Care, and Entitlements Subcommittee"
"House Committee on Oversight and Government Reform;Federal Workforce, U.S. Postal Service, and the Census Subcommittee"
"House Committee on Science, Space, and Technology;Oversight Subcommittee"
"House Committee on Science, Space, and Technology;Environment Subcommittee"
"House Committee on Science, Space, and Technology;Space Subcommittee"
"House Committee on Science, Space, and Technology;Research and Technology Subcommittee"
"House Committee on Science, Space, and Technology;Energy Subcommittee"
House Committee on Small Business;Health and Technology Subcommittee
"House Committee on the Judiciary;Crime, Terrorism, Homeland Security, and Investigations Subcommittee"
"House Committee on the Judiciary;Regulatory Reform, Commercial, and Antitrust Law Subcommittee"
"House Committee on the Judiciary;Courts, Intellectual Property, and the Internet Subcommittee"
House Committee on the Judiciary;The Constitution and Civil Justice Subcommittee
House Committee on the Judiciary;Immigration and Border Security Subcommittee
"Senate Committee on Agriculture, Nutrition, and Forestry;Commodities, Markets, Trade and Risk Management Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Jobs, Rural Economic Growth and Energy Innovation Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Nutrition, Specialty Crops, Food and Agricultural Research Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Conservation, Forestry and Natural Resources Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Livestock, Dairy, Poultry, Marketing and Agriculture Security Subcommittee"
"Senate Committee on Appropriations;Commerce, Justice, Science, and Related Agencies Subcommittee"
Senate Committee on Appropriations;Energy and Water Development Subcommittee
"Senate Committee on Appropriations;Department of the Interior, Environment, and Related Agencies Subcommittee"
"Senate Committee on Appropriations;Departments of Labor, Health and Human Services, and Education, and Related Agencies Subcommittee"
"Senate Committee on Appropriations;Transportation and Housing and Urban Development, and Related Agencies Subcommittee"
Senate Committee on Appropriations;Department of Defense Subcommittee
"Senate Committee on Appropriations;State, Foreign Operations, and Related Programs Subcommittee"
"Senate Committee on Appropriations;Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee"
Senate Committee on Appropriations;Legislative Branch Subcommittee
Senate Committee on Appropriations;Department of Homeland Security Subcommittee
"Senate Committee on Appropriations;Military Construction and Veterans Affairs, and Related Agencies Subcommittee"
Senate Committee on Appropriations;Financial Services and General Government Subcommittee
Senate Committee on Armed Services;Personnel Subcommittee
Senate Committee on Armed Services;Readiness and Management Support Subcommittee
Senate Committee on Armed Services;SeaPower Subcommittee
Senate Committee on Armed Services;Airland Subcommittee
Senate Committee on Armed Services;Emerging Threats and Capabilities Subcommittee
Senate Committee on Armed Services;Strategic Forces Subcommittee
"Senate Committee on Banking, Housing, and Urban Affairs;National Security and International Trade and Finance Subcommittee"
"Senate Committee on Banking, Housing, and Urban Affairs;Housing, Transportation, and Community Development Subcommittee"
"Senate Committee on Banking, Housing, and Urban Affairs;Financial Institutions and Consumer Protection Subcommittee"
"Senate Committee on Banking, Housing, and Urban Affairs;Economic Policy Subcommittee"
"Senate Committee on Banking, Housing, and Urban Affairs;Securities, Insurance, and Investment Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Communications, Technology, and the Internet Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Consumer Protection, Product Safety, and Insurance Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Oceans, Atmosphere, Fisheries, and Coast Guard Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Surface Transportation and Merchant Marine Infrastructure, Safety, and Security Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Aviation Operations, Safety, and Security Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Tourism, Competitiveness, and Innovation Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Science and Space Subcommittee"
Senate Committee on Energy and Natural Resources;National Parks Subcommittee
Senate Committee on Energy and Natural Resources;Energy Subcommittee
"Senate Committee on Energy and Natural Resources;Public Lands, Forests, and Mining Subcommittee"
Senate Committee on Energy and Natural Resources;Water and Power Subcommittee
Senate Committee on Environment and Public Works;Clean Air and Nuclear Safety Subcommittee
"Senate Committee on Environment and Public Works;Superfund, Toxics and Environmental Health Subcommittee"
Senate Committee on Environment and Public Works;Green Jobs and the New Economy Subcommittee
Senate Committee on Environment and Public Works;Oversight Subcommittee
Senate Committee on Environment and Public Works;Transportation and Infrastructure Subcommittee
Senate Committee on Environment and Public Works;Water and Wildlife Subcommittee
"Senate Committee on Finance;International Trade, Customs, and Global Competitiveness Subcommittee"
Senate Committee on Finance;Fiscal Responsibility and Economic Growth Subcommittee
"Senate Committee on Finance;Social Security, Pensions, and Family Policy Subcommittee"
"Senate Committee on Finance;Energy, Natural Resources, and Infrastructure Subcommittee"
Senate Committee on Finance;Health Care Subcommittee
Senate Committee on Finance;Taxation and IRS Oversight Subcommittee
"Senate Committee on Foreign Relations;International Operations and Organizations, Human Rights, Democracy, and Global Women's Issues Subcommittee"
Senate Committee on Foreign Relations;East Asian and Pacific Affairs Subcommittee
Senate Committee on Foreign Relations;Near Eastern and South and Central Asian Affairs Subcommittee
Senate Committee on Foreign Relations;Western Hemisphere and Global Narcotics Affairs Subcommittee
"Senate Committee on Foreign Relations;International Development and Foreign Assistance, Economic Affairs, International Environmental Protection, and Peace Corps Subcommittee"
Senate Committee on Foreign Relations;European Affairs Subcommittee
Senate Committee on Foreign Relations;African Affairs Subcommittee
"Senate Committee on Health, Education, Labor, and Pensions;Employment and Workplace Safety Subcommittee"
"Senate Committee on Health, Education, Labor, and Pensions;Primary Health and Aging Subcommittee"
"Senate Committee on Health, Education, Labor, and Pensions;Children and Families Subcommittee"
Senate Committee on Homeland Security and Governmental Affairs;Permanent Subcommittee on Investigations Subcommittee
Senate Committee on Homeland Security and Governmental Affairs;Financial and Contracting Oversight Subcommittee
Senate Committee on Homeland Security and Governmental Affairs;the Efficiency and Effectiveness of Federal Programs and the Federal Workforce Subcommittee
"Senate Committee on Homeland Security and Governmental Affairs;Emergency Management, Intergovernmental Relations, and the District of Columbia Subcommittee"
"Senate Committee on the Judiciary;the Constitution, Civil Rights and Human Rights Subcommittee"
"Senate Committee on the Judiciary;Antitrust, Competition Policy and Consumer Rights Subcommittee"
"Senate Committee on the Judiciary;Immigration, Refugees and Border Security Subcommittee"
"Senate Committee on the Judiciary;Oversight, Federal Rights and Agency Action Subcommittee"
"Senate Committee on the Judiciary;Privacy, Technology and the Law Subcommittee"
Senate Committee on the Judiciary;Bankruptcy and the Courts Subcommittee
Senate Committee on the Judiciary;Crime and Terrorism Subcommittee
House Committee on Agriculture;Nutrition Subcommittee
"House Committee on Agriculture;Commodity Exchanges, Energy, and Credit Subcommittee"
House Committee on Agriculture;Conservation and Forestry Subcommittee
House Committee on Agriculture;Livestock and Foreign Agriculture Subcommittee
"House Committee on Agriculture;Biotechnology, Horticulture, and Research Subcommittee"
"House Committee on Homeland Security;Emergency Preparedness, Response, and Communications Subcommittee"
"House Committee on Natural Resources;Water, Power and Oceans Subcommittee"
"House Committee on Natural Resources;Indian, Insular and Alaska Native Affairs Subcommittee"
House Committee on Natural Resources;Federal Lands Subcommittee
House Committee on Natural Resources;Oversight and Investigations Subcommittee
House Committee on Oversight and Government Reform;Transportation and Public Assets Subcommittee
House Committee on Oversight and Government Reform;Information Technology Subcommittee
"House Committee on Oversight and Government Reform;Health Care, Benefits and Administrative Rules Subcommittee"
House Committee on Oversight and Government Reform;The Interior Subcommittee
House Committee on Ways and Means;Tax Policy Subcommittee
House Permanent Select Committee on Intelligence;Central Intelligence Agency Subcommittee
House Permanent Select Committee on Intelligence;National Security Agency and Cybersecurity Subcommittee
House Permanent Select Committee on Intelligence;Emerging Threats Subcommittee
House Permanent Select Committee on Intelligence;Department of Defense Intelligence and Overhead Architecture Subcommittee
House Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi
"Senate Committee on Agriculture, Nutrition, and Forestry;Commodities, Risk Management and Trade Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Rural Development and Energy Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Nutrition, Specialty Crops, and Agricultural Research Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Livestock, Marketing and Agriculture Security Subcommittee"
"Senate Committee on Appropriations;Transportation, Housing and Urban Development, and Related Agencies Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Communications, Technology, Innovation, and the Internet Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Surface Transportation and Merchant Marine Infrastructure, Safety and Security Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Consumer Protection, Product Safety, Insurance, and Data Security Subcommittee"
"Senate Committee on Commerce, Science, and Transportation;Space, Science, and Competitiveness Subcommittee"
"Senate Committee on Environment and Public Works;Superfund, Waste Management, and Regulatory Oversight Subcommittee"
"Senate Committee on Environment and Public Works;Fisheries, Water, and Wildlife Subcommittee"
"Senate Committee on Foreign Relations;East Asia, the Pacific, and International Cybersecurity Policy Subcommittee"
"Senate Committee on Foreign Relations;Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues Subcommittee"
"Senate Committee on Foreign Relations;Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy Subcommittee"
"Senate Committee on Foreign Relations;State Department and USAID Management, International Operations, and Bilateral International Development Subcommittee"
Senate Committee on Foreign Relations;Europe and Regional Security Cooperation Subcommittee
Senate Committee on Foreign Relations;Africa and Global Health Policy Subcommittee
"Senate Committee on Foreign Relations;Near East, South Asia, Central Asia, and Counterterrorism Subcommittee"
"Senate Committee on Health, Education, Labor, and Pensions;Primary Health and Retirement Security Subcommittee"
Senate Committee on Homeland Security and Governmental Affairs;Federal Spending Oversight and Emergency Management Subcommittee
Senate Committee on Homeland Security and Governmental Affairs;Regulatory Affairs and Federal Management Subcommittee
Senate Committee on the Judiciary;Immigration and the National Interest Subcommittee
"Senate Committee on the Judiciary;Oversight, Agency Action, Federal Rights and Federal Courts Subcommittee"
Senate Committee on the Judiciary;the Constitution Subcommittee
"House Committee on Appropriations;Transportation, Housing and Urban Development, and Related Agencies Subcommittee"
"House Committee on Appropriations;Military Construction, Veterans Affairs and Related Agencies Subcommittee"
House Committee on Education and the Workforce;Higher Education and Workforce Development Subcommittee
House Committee on Energy and Commerce;Energy Subcommittee
House Committee on Energy and Commerce;Environment Subcommittee
House Committee on Energy and Commerce;Digital Commerce and Consumer Protection Subcommittee
"House Committee on Financial Services;Capital Markets, Securities, and Investment Subcommittee"
House Committee on Financial Services;Terrorism and Illicit Finance Subcommittee
House Committee on Homeland Security;Cybersecurity and Infrastructure Protection Subcommittee
House Committee on Homeland Security;Transportation and Protective Security Subcommittee
"House Committee on Oversight and Government Reform;Healthcare, Benefits, and Administrative Rules Subcommittee"
House Committee on Oversight and Government Reform;Intergovernmental Affairs Subcommittee
"House Committee on Oversight and Government Reform;The Interior, Energy and Environment Subcommittee"
House Committee on Veterans' Affairs;Technology Modernization Subcommittee
"House Committee on the Judiciary;Regulatory Reform, Commercial and Antitrust Law Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Commodities, Risk Management, and Trade Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Nutrition, Agricultural Research, and Specialty Crops Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Conservation, Forestry, and Natural Resources Subcommittee"
"Senate Committee on Agriculture, Nutrition, and Forestry;Livestock, Marketing, and Agriculture Security Subcommittee"
Senate Committee on Armed Services;Cybersecurity Subcommittee
Senate Committee on the Judiciary;Border Security and Immigration Subcommittee
"House Committee on Agriculture;Nutrition, Oversight, and Department Operations Subcommittee"
House Committee on Armed Services;Intelligence and Emerging Threats and Capabilities Subcommittee
House Committee on Education and Labor
House Committee on Education and Labor;Higher Education and Workforce Investment Subcommittee
House Committee on Education and Labor;Workforce Protections Subcommittee
"House Committee on Education and Labor;Early Childhood, Elementary, and Secondary Education Subcommittee"
"House Committee on Education and Labor;Health, Employment, Labor, and Pensions Subcommittee"
House Committee on Education and Labor;Civil Rights and Human Services Subcommittee
House Committee on Energy and Commerce;Consumer Protection and Commerce Subcommittee
House Committee on Energy and Commerce;Environment and Climate Change Subcommittee
House Committee on Financial Services;Diversity and Inclusion Subcommittee
"House Committee on Financial Services;Investor Protection, Entrepreneurship, and Capital Markets Subcommittee"
"House Committee on Financial Services;Housing, Community Development, and Insurance Subcommittee"
House Committee on Financial Services;Consumer Protection and Financial Institutions Subcommittee
"House Committee on Financial Services;National Security, International Development, and Monetary Policy Subcommittee"
"House Committee on Foreign Affairs;Middle East, North Africa, and International Terrorism Subcommittee"
"House Committee on Foreign Affairs;Asia, the Pacific, and Nonproliferation Subcommittee"
"House Committee on Foreign Affairs;Europe, Eurasia, Energy, and the Environment Subcommittee"
"House Committee on Foreign Affairs;Western Hemisphere, Civilian Security, and Trade Subcommittee"
"House Committee on Homeland Security;Oversight, Management, and Accountability Subcommittee"
House Committee on Homeland Security;Transportation and Maritime Security Subcommittee
"House Committee on Homeland Security;Emergency Preparedness, Response, and Recovery Subcommittee"
"House Committee on Homeland Security;Border Security, Facilitation, and Operations Subcommittee"
"House Committee on Homeland Security;Cybersecurity, Infrastructure Protection, and Innovation Subcommittee"
House Committee on Homeland Security;Intelligence and Counterterrorism Subcommittee
"House Committee on Natural Resources;National Parks, Forests, and Public Lands Subcommittee"
"House Committee on Natural Resources;Water, Oceans, and Wildlife Subcommittee"
House Committee on Natural Resources;For Indigenous Peoples of the United States Subcommittee
House Committee on Oversight and Reform
House Committee on Oversight and Reform;Environment Subcommittee
House Committee on Oversight and Reform;National Security Subcommittee
House Committee on Oversight and Reform;Civil Rights and Civil Liberties Subcommittee
House Committee on Oversight and Reform;Government Operations Subcommittee
House Committee on Oversight and Reform;Economic and Consumer Policy Subcommittee
House Committee on Rules;Expedited Procedures Subcommittee
House Committee on Small Business;Contracting and Infrastructure Subcommittee
House Committee on Small Business;Innovation and Workforce Development Subcommittee
